participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
307,grpB,21.0,0.0,Home,Gloves,Angelina,Cabin,13.835999999999999,3.0,4.749,11.0,5.0,1.442,place,object,person,1.0,2.5580000000000003,2.0,1.0,1.268,1.0,1.0,3.033,3.0,1.0,9.007,1.0,1.0,0.8490000000000001,2.0,0.0,1.8519999999999999,1.0,8.0,1.0,0.752
307,grpB,11.0,1.0,Games,Binoculars,Leonardo,Lake,13.116,5.0,1.306,1.0,6.0,2.0909999999999997,object,place,person,1.0,2.6489999999999996,3.0,1.0,1.033,2.0,1.0,2.748,2.0,1.0,1.808,1.0,1.0,1.439,1.0,1.0,2.255,2.0,14.0,1.0,0.662
307,grpB,12.0,2.0,Studying,Trampoline,Ellen,Classroom,13.307,4.0,1.465,17.0,6.0,1.2009999999999998,place,person,object,1.0,2.4819999999999998,4.0,1.0,1.3530000000000002,4.0,1.0,0.8029999999999999,4.0,0.0,1.518,1.0,0.0,2.068,1.0,1.0,0.8170000000000001,1.0,16.0,1.0,0.433
307,grpB,24.0,3.0,Family,Extinguisher,Ryan,Basketball,13.043,3.0,1.9980000000000002,8.0,1.0,0.8909999999999999,person,place,object,0.0,3.451,1.0,0.0,4.575,4.0,0.0,3.0839999999999996,1.0,0.0,2.718,2.0,1.0,2.406,1.0,1.0,2.259,2.0,5.0,3.0,0.619
307,grpB,15.0,4.0,Celebration,Football,Meryl,Harbor,13.692,3.0,1.617,15.0,1.0,0.614,object,person,place,1.0,4.468,1.0,0.0,2.75,4.0,1.0,2.5340000000000003,4.0,1.0,1.5919999999999999,2.0,1.0,2.116,1.0,1.0,1.018,1.0,12.0,1.0,0.47200000000000003
307,grpB,1.0,5.0,Date,Pitcher,Reese,Studio,13.593,4.0,1.682,19.0,3.0,1.2930000000000001,person,place,object,1.0,3.708,3.0,0.0,3.4810000000000003,1.0,1.0,0.856,2.0,1.0,1.9580000000000002,1.0,1.0,3.492,2.0,1.0,1.208,2.0,10.0,2.0,0.9329999999999999
307,grpB,8.0,6.0,Competition,Goggles,Scarlett,Savannah,7.405,2.0,1.3980000000000001,10.0,1.0,0.767,place,object,person,1.0,4.8,1.0,1.0,4.832,1.0,1.0,2.42,4.0,1.0,1.614,1.0,1.0,2.69,2.0,1.0,1.767,1.0,22.0,3.0,0.607
307,grpB,17.0,7.0,Summer,Puppy,Sandra,Circus,13.46,3.0,1.284,14.0,4.0,1.41,object,person,place,1.0,4.803,4.0,0.0,1.62,3.0,1.0,0.741,1.0,1.0,2.499,2.0,0.0,1.3090000000000002,2.0,0.0,1.115,1.0,15.0,2.0,0.8859999999999999
307,grpB,23.0,8.0,Eating,Hammock,Brad,Restaurant,13.427,6.0,1.551,9.0,4.0,1.351,person,object,place,0.0,2.722,4.0,1.0,4.904,3.0,1.0,1.135,3.0,1.0,1.899,1.0,0.0,1.484,1.0,1.0,1.568,2.0,20.0,2.0,0.8390000000000001
307,grpB,7.0,9.0,Art,Headphones,Denzel,Avenue,13.935,5.0,1.5030000000000001,12.0,3.0,1.3259999999999998,person,object,place,0.0,4.5169999999999995,1.0,0.0,4.902,4.0,1.0,2.499,3.0,1.0,1.649,1.0,0.0,1.7480000000000002,1.0,1.0,1.272,1.0,21.0,3.0,0.836
307,grpB,18.0,10.0,DIY,Chair,Beyonce,Wine Cellar,12.385,3.0,1.465,0.0,6.0,2.2319999999999998,person,object,place,1.0,3.272,2.0,1.0,2.905,3.0,1.0,2.191,4.0,1.0,2.9160000000000004,2.0,1.0,1.317,1.0,1.0,1.496,1.0,6.0,1.0,0.502
307,grpB,2.0,11.0,Volunteer,Flowers,Jennifer,Waterfall,13.966,5.0,1.8,22.0,5.0,1.156,person,place,object,0.0,3.758,4.0,1.0,1.138,3.0,1.0,0.735,4.0,1.0,2.905,2.0,1.0,2.787,1.0,0.0,0.871,2.0,19.0,1.0,0.5670000000000001
307,grpB,5.0,12.0,Party,Satchel,Anne,Bowling,12.665999999999999,5.0,1.319,3.0,5.0,2.119,place,person,object,1.0,3.325,3.0,1.0,2.04,3.0,1.0,1.899,1.0,0.0,2.855,1.0,0.0,1.975,2.0,1.0,0.985,2.0,18.0,2.0,1.07
