participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
380,grpB,24.0,0.0,Family,Extinguisher,Ryan,Basketball,,4.0,3.873885,6.0,1.0,0.68381,person,place,object,0.0,5.0046550000000005,1.0,0.0,3.3843949999999996,4.0,1.0,5.238475,3.0,0.0,2.92291,2.0,1.0,2.139425,1.0,1.0,3.3505300000000005,2.0,14.0,1.0,1.243435
380,grpB,5.0,1.0,Party,Satchel,Anne,Bowling,13.7171,6.0,1.688375,9.0,5.0,1.119875,place,person,object,1.0,7.118015,3.0,0.0,1.086165,2.0,1.0,6.343255,1.0,0.0,1.7913,1.0,1.0,2.252295,1.0,0.0,0.8628399999999999,1.0,6.0,3.0,0.687265
380,grpB,12.0,2.0,Studying,Trampoline,Ellen,Classroom,13.471820000000001,5.0,2.173425,23.0,2.0,0.73373,place,person,object,1.0,10.51013,4.0,0.0,2.52628,1.0,1.0,2.9502,4.0,0.0,2.3720849999999998,1.0,1.0,1.242505,2.0,1.0,1.2534100000000001,1.0,19.0,1.0,0.60592
380,grpB,7.0,3.0,Art,Headphones,Denzel,Avenue,13.385179999999998,6.0,1.21702,14.0,1.0,0.392495,person,object,place,0.0,7.720510000000001,1.0,0.0,7.200425,3.0,0.0,4.2618599999999995,1.0,1.0,2.5335650000000003,1.0,1.0,1.133645,2.0,1.0,1.967075,1.0,13.0,2.0,1.1028200000000001
380,grpB,6.0,4.0,Sightseeing,Ladder,Adam,Beach,,3.0,1.576315,20.0,2.0,0.5092899999999999,object,place,person,0.0,4.901025,1.0,0.0,4.7838400000000005,3.0,0.0,0.9002450000000001,1.0,0.0,1.330095,1.0,1.0,5.24538,2.0,0.0,1.42426,1.0,1.0,1.0,4.121795
380,grpB,2.0,5.0,Volunteer,Flowers,Jennifer,Waterfall,,4.0,1.53745,11.0,2.0,1.16254,person,place,object,0.0,4.9711099999999995,3.0,1.0,1.21746,3.0,0.0,1.38396,1.0,0.0,1.0170299999999999,1.0,1.0,1.03745,1.0,1.0,1.160065,1.0,5.0,3.0,1.406435
380,grpB,3.0,6.0,Music,Bike,Halle,Lighthouse,12.711785,3.0,1.90057,22.0,4.0,0.753475,person,place,object,0.0,6.050235,1.0,1.0,5.10855,1.0,1.0,1.629405,1.0,0.0,3.067065,1.0,1.0,1.2111049999999999,2.0,1.0,1.4669999999999999,2.0,23.0,3.0,0.87274
380,grpB,10.0,7.0,Work,Easel,Emma,Aquarium,13.47703,4.0,1.61732,7.0,2.0,0.903855,object,place,person,0.0,4.7340349999999995,1.0,1.0,3.5093199999999998,4.0,1.0,2.077455,4.0,1.0,1.200395,1.0,1.0,3.5501699999999996,2.0,1.0,1.804175,1.0,0.0,3.0,2.09239
380,grpB,22.0,8.0,Travel,Computer,George,Field,11.340605,6.0,2.3705950000000002,2.0,3.0,2.084725,object,person,place,1.0,6.70701,4.0,1.0,8.939905,1.0,1.0,2.27537,1.0,1.0,1.8704349999999998,1.0,1.0,3.6841,2.0,1.0,7.0500300000000005,2.0,15.0,3.0,3.8351
380,grpB,14.0,9.0,Relaxing,Stroller,Steve,Ski Slope,,2.0,2.517075,16.0,4.0,0.877,place,person,object,1.0,6.7972600000000005,1.0,0.0,2.73944,2.0,1.0,2.08378,2.0,1.0,2.27904,2.0,0.0,2.008315,1.0,1.0,1.068725,1.0,12.0,2.0,1.186135
