participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
379,grpA,18.0,0.0,DIY,Chair,Beyonce,Wine Cellar,,5.0,5.19914,18.0,5.0,0.9271299999999999,person,object,place,1.0,1.6518950000000001,2.0,1.0,2.999915,3.0,1.0,0.794345,4.0,0.0,1.852845,1.0,1.0,1.9456349999999998,1.0,1.0,1.19275,1.0,10.0,1.0,0.976785
379,grpA,3.0,1.0,Music,Bike,Halle,Lighthouse,12.44994,6.0,2.11659,5.0,1.0,0.627955,person,place,object,0.0,1.677085,2.0,0.0,2.2245,2.0,1.0,4.201295,1.0,0.0,2.0320400000000003,1.0,1.0,12.2002,2.0,0.0,0.9770549999999999,1.0,16.0,1.0,0.536105
379,grpA,19.0,2.0,Vacation,Wine,Julia,Pool,10.183,6.0,1.9499,7.0,4.0,1.210075,person,object,place,1.0,13.7426,3.0,0.0,4.5356,3.0,1.0,2.650155,2.0,1.0,1.660505,2.0,1.0,0.969975,1.0,0.0,4.90083,1.0,2.0,1.0,0.74382
379,grpA,4.0,3.0,Exercise,Beachball,Will,Casino,11.23477,5.0,1.732425,0.0,5.0,2.95328,object,person,place,1.0,12.02034,1.0,1.0,14.351729999999998,2.0,1.0,0.531885,2.0,0.0,1.8994900000000001,2.0,0.0,2.15195,1.0,1.0,1.33755,1.0,11.0,1.0,0.634995
379,grpA,10.0,4.0,Work,Easel,Emma,Aquarium,11.00225,6.0,0.5019600000000001,10.0,5.0,0.9346,object,place,person,1.0,8.51855,2.0,1.0,3.65044,4.0,1.0,2.648185,4.0,1.0,1.27617,1.0,0.0,1.584055,1.0,1.0,1.862495,1.0,7.0,1.0,0.661345
379,grpA,23.0,5.0,Eating,Hammock,Brad,Restaurant,13.2998,6.0,2.48449,21.0,2.0,0.82735,person,object,place,0.0,2.65381,3.0,1.0,1.7125150000000002,3.0,1.0,1.11839,3.0,1.0,2.1273400000000002,1.0,0.0,1.13381,1.0,1.0,2.0319700000000003,2.0,20.0,1.0,0.518425
379,grpA,24.0,6.0,Family,Extinguisher,Ryan,Basketball,12.711725,6.0,1.06732,1.0,6.0,1.09857,person,place,object,1.0,4.828725,4.0,1.0,2.30183,2.0,1.0,0.5528850000000001,3.0,1.0,2.5854,1.0,1.0,3.4490849999999997,1.0,1.0,1.8012099999999998,2.0,22.0,1.0,1.31659
379,grpA,22.0,7.0,Travel,Computer,George,Field,12.68535,5.0,0.48491999999999996,19.0,3.0,1.168815,object,person,place,0.0,3.4207,2.0,0.0,5.484805000000001,3.0,0.0,2.60466,3.0,1.0,2.6173900000000003,1.0,0.0,2.804665,1.0,0.0,5.911695,1.0,23.0,1.0,0.6514850000000001
379,grpA,13.0,8.0,Errands,Stopwatch,Tom,Icerink,,6.0,1.486235,3.0,3.0,2.04386,place,object,person,1.0,6.2864949999999995,3.0,1.0,1.024365,4.0,1.0,4.001275,1.0,1.0,1.101325,1.0,0.0,1.8747,2.0,0.0,0.9588399999999999,1.0,12.0,1.0,0.649595
379,grpA,6.0,9.0,Sightseeing,Ladder,Adam,Beach,13.649189999999999,6.0,0.816695,22.0,5.0,0.743945,object,place,person,1.0,3.576315,2.0,1.0,1.55874,1.0,1.0,0.87489,3.0,1.0,1.52573,2.0,0.0,2.542795,1.0,1.0,1.9184599999999998,2.0,3.0,1.0,0.92071
379,grpA,1.0,10.0,Date,Pitcher,Reese,Studio,,6.0,2.30458,23.0,6.0,1.0843200000000002,person,place,object,1.0,3.72425,3.0,1.0,0.54179,3.0,1.0,2.25284,2.0,1.0,1.230985,1.0,1.0,1.384155,2.0,1.0,1.37039,2.0,19.0,1.0,1.99222
379,grpA,7.0,11.0,Art,Headphones,Denzel,Avenue,,6.0,2.1526,20.0,2.0,1.2026,person,object,place,1.0,7.03463,2.0,1.0,2.61796,2.0,1.0,1.501075,3.0,0.0,2.486805,2.0,1.0,4.269185,2.0,0.0,2.3178799999999997,2.0,21.0,1.0,0.84311
379,grpA,2.0,12.0,Volunteer,Flowers,Jennifer,Waterfall,,6.0,2.55235,9.0,5.0,1.09281,person,place,object,1.0,2.2025200000000003,1.0,1.0,0.8958649999999999,3.0,1.0,3.0998799999999997,4.0,0.0,1.85162,1.0,1.0,1.43851,1.0,1.0,1.36064,1.0,1.0,1.0,0.993195
379,grpA,20.0,13.0,Friends,Backpack,Chris,Bridge,,6.0,1.42467,11.0,6.0,0.92981,object,place,person,1.0,3.6036949999999996,3.0,1.0,1.418355,4.0,1.0,0.65151,2.0,1.0,1.5199200000000002,2.0,0.0,4.2885599999999995,2.0,1.0,1.07765,1.0,13.0,1.0,0.85955
379,grpA,21.0,14.0,Home,Gloves,Angelina,Cabin,,6.0,1.350395,2.0,2.0,0.8916350000000001,place,object,person,0.0,7.6830300000000005,3.0,0.0,12.4185,3.0,1.0,6.759989999999999,3.0,1.0,4.784085,1.0,1.0,3.45165,2.0,0.0,2.06791,1.0,0.0,1.0,1.9192650000000002
379,grpA,16.0,15.0,Winter,Record,Samuel,Dining Room,,6.0,0.76177,12.0,5.0,0.810595,place,person,object,1.0,3.333585,2.0,1.0,0.5019399999999999,2.0,1.0,1.42674,3.0,1.0,1.326195,1.0,1.0,1.21957,1.0,0.0,1.168015,2.0,9.0,1.0,1.17737
379,grpA,12.0,16.0,Studying,Trampoline,Ellen,Classroom,6.869510000000001,5.0,1.1336700000000002,14.0,6.0,0.942525,place,person,object,1.0,3.887035,4.0,1.0,0.935225,4.0,1.0,1.2698399999999999,4.0,1.0,1.719,2.0,1.0,1.176685,2.0,1.0,1.21079,1.0,18.0,1.0,0.992075
379,grpA,14.0,17.0,Relaxing,Stroller,Steve,Ski Slope,,6.0,1.5111,16.0,5.0,0.54493,place,person,object,1.0,5.30225,1.0,1.0,0.813185,1.0,1.0,0.852305,2.0,1.0,1.82002,2.0,0.0,1.59289,1.0,1.0,1.168625,1.0,15.0,1.0,0.7344
379,grpA,15.0,18.0,Celebration,Football,Meryl,Harbor,,6.0,4.861875,6.0,6.0,1.018895,object,person,place,1.0,3.13536,1.0,1.0,0.911775,3.0,1.0,0.852615,4.0,1.0,1.77547,2.0,0.0,2.062185,2.0,0.0,2.84455,2.0,17.0,1.0,0.51858
379,grpA,9.0,19.0,Shopping,Duster,Robert,Kitchen,,5.0,1.2352299999999998,17.0,5.0,1.02614,place,object,person,1.0,3.1450400000000003,4.0,1.0,1.160085,2.0,1.0,0.8666799999999999,1.0,0.0,1.52505,1.0,0.0,1.05986,2.0,1.0,1.959685,1.0,4.0,1.0,0.627605
379,grpA,8.0,20.0,Competition,Goggles,Scarlett,Savannah,13.219079999999998,4.0,0.667085,13.0,5.0,0.63293,place,object,person,1.0,3.80124,1.0,1.0,1.16547,1.0,1.0,2.55809,4.0,0.0,2.060865,2.0,1.0,2.4337150000000003,2.0,1.0,1.276685,1.0,5.0,1.0,0.6242449999999999
379,grpA,17.0,21.0,Summer,Puppy,Sandra,Circus,12.067335,5.0,2.11536,4.0,4.0,1.24253,object,person,place,1.0,12.460239999999999,4.0,0.0,4.078245,2.0,1.0,0.5853550000000001,1.0,0.0,0.837535,1.0,0.0,4.06231,2.0,0.0,0.9869100000000001,1.0,14.0,1.0,1.201935
379,grpA,5.0,22.0,Party,Satchel,Anne,Bowling,,5.0,2.0925599999999998,8.0,5.0,1.0942450000000001,place,person,object,1.0,5.610575,3.0,1.0,6.241169999999999,3.0,1.0,1.50615,1.0,0.0,3.427455,1.0,1.0,2.2543,1.0,1.0,1.66933,2.0,8.0,1.0,1.300625
379,grpA,11.0,23.0,Games,Binoculars,Leonardo,Lake,,6.0,0.5017699999999999,15.0,3.0,1.226125,object,place,person,0.0,8.020895,1.0,1.0,6.0194,2.0,1.0,3.2507650000000003,2.0,1.0,4.20274,1.0,1.0,3.14187,1.0,1.0,2.2839150000000004,2.0,6.0,1.0,0.5430149999999999
