participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
318,grpA,4.0,0.0,Exercise,Beachball,Will,Casino,13.918,2.0,2.96,9.0,3.0,3.492,object,person,place,1.0,2.826,1.0,1.0,7.051,2.0,1.0,0.675,2.0,0.0,2.542,2.0,1.0,1.483,2.0,1.0,0.8079999999999999,1.0,15.0,1.0,0.633
318,grpA,1.0,1.0,Date,Pitcher,Reese,Studio,13.776,5.0,2.801,17.0,3.0,1.5519999999999998,person,place,object,1.0,4.375,3.0,1.0,1.6569999999999998,3.0,1.0,2.135,2.0,1.0,2.8680000000000003,1.0,1.0,2.8510000000000004,2.0,1.0,1.1159999999999999,2.0,1.0,1.0,1.389
318,grpA,23.0,2.0,Eating,Hammock,Brad,Restaurant,7.694,3.0,1.284,11.0,2.0,1.0170000000000001,person,object,place,1.0,8.384,1.0,1.0,3.4610000000000003,3.0,1.0,3.451,3.0,1.0,1.9909999999999999,1.0,1.0,1.6840000000000002,2.0,1.0,2.386,2.0,8.0,1.0,1.044
318,grpA,15.0,3.0,Celebration,Football,Meryl,Harbor,12.401,4.0,2.2030000000000003,12.0,3.0,1.125,object,person,place,1.0,2.225,1.0,1.0,1.225,3.0,1.0,1.5019999999999998,4.0,1.0,1.1320000000000001,2.0,1.0,0.9179999999999999,1.0,1.0,0.584,1.0,18.0,1.0,0.434
318,grpA,12.0,4.0,Studying,Trampoline,Ellen,Classroom,6.023,5.0,1.273,5.0,4.0,1.867,place,person,object,1.0,3.284,4.0,1.0,1.042,4.0,1.0,1.218,4.0,1.0,4.217,2.0,1.0,1.4680000000000002,2.0,1.0,0.792,1.0,4.0,1.0,0.32799999999999996
318,grpA,17.0,5.0,Summer,Puppy,Sandra,Circus,3.81,6.0,0.5670000000000001,23.0,5.0,1.218,object,person,place,1.0,5.359,4.0,1.0,3.3569999999999998,4.0,1.0,1.1340000000000001,1.0,1.0,3.533,2.0,1.0,1.906,1.0,0.0,0.9490000000000001,1.0,22.0,1.0,0.475
318,grpA,8.0,6.0,Competition,Goggles,Scarlett,Savannah,11.592,2.0,3.508,15.0,3.0,1.5230000000000001,place,object,person,1.0,2.625,1.0,1.0,0.9059999999999999,1.0,1.0,1.11,4.0,1.0,1.9340000000000002,1.0,0.0,2.342,1.0,1.0,3.7680000000000002,1.0,12.0,1.0,0.391
318,grpA,2.0,7.0,Volunteer,Flowers,Jennifer,Waterfall,6.495,6.0,3.492,16.0,2.0,1.1079999999999999,person,place,object,1.0,6.367000000000001,1.0,1.0,3.3739999999999997,3.0,1.0,2.109,4.0,0.0,0.892,1.0,1.0,3.775,1.0,1.0,1.139,1.0,17.0,1.0,0.61
318,grpA,20.0,8.0,Friends,Backpack,Chris,Bridge,4.768,6.0,0.992,0.0,6.0,2.32,object,place,person,1.0,5.55,3.0,1.0,3.3160000000000003,4.0,1.0,2.74,2.0,1.0,3.09,2.0,1.0,2.557,1.0,1.0,2.316,1.0,5.0,1.0,1.083
318,grpA,9.0,9.0,Shopping,Duster,Robert,Kitchen,12.790999999999999,6.0,1.618,21.0,4.0,2.042,place,object,person,1.0,3.9819999999999998,4.0,1.0,1.35,2.0,1.0,0.91,1.0,1.0,3.366,2.0,1.0,1.969,1.0,0.0,2.55,2.0,2.0,1.0,0.39
