participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
347,grpA,5.0,0.0,Party,Satchel,Anne,Bowling,12.549935000000001,4.0,1.7854349999999999,18.0,6.0,1.100765,place,person,object,1.0,4.776635,3.0,1.0,1.164485,3.0,1.0,0.8100149999999999,1.0,1.0,2.15098,2.0,1.0,1.409055,1.0,0.0,2.8010200000000003,1.0,21.0,1.0,0.403595
347,grpA,1.0,1.0,Date,Pitcher,Reese,Studio,8.776045,6.0,0.292715,13.0,2.0,1.193115,person,place,object,0.0,3.9766449999999995,4.0,0.0,0.8445,2.0,1.0,0.78122,2.0,1.0,3.276275,1.0,0.0,3.1271150000000003,1.0,1.0,1.253225,2.0,1.0,1.0,0.435655
347,grpA,3.0,2.0,Music,Bike,Halle,Lighthouse,11.776275,5.0,1.4766,14.0,3.0,1.4386700000000001,person,place,object,0.0,4.68492,3.0,0.0,3.6760300000000004,4.0,1.0,2.30576,1.0,1.0,2.140775,2.0,0.0,1.40087,1.0,0.0,1.576835,1.0,0.0,1.0,1.2911
347,grpA,19.0,3.0,Vacation,Wine,Julia,Pool,8.58418,4.0,0.446705,15.0,3.0,1.35113,person,object,place,1.0,3.4920199999999997,3.0,0.0,4.29331,2.0,1.0,1.89219,2.0,1.0,1.26769,2.0,1.0,1.092875,1.0,0.0,6.13457,1.0,5.0,1.0,0.63708
347,grpA,2.0,4.0,Volunteer,Flowers,Jennifer,Waterfall,12.88437,5.0,0.55933,9.0,1.0,3.617985,person,place,object,0.0,3.78433,2.0,0.0,1.126525,1.0,0.0,2.126925,3.0,1.0,1.84276,2.0,1.0,0.941795,1.0,1.0,0.734765,1.0,11.0,1.0,0.65063
347,grpA,24.0,5.0,Family,Extinguisher,Ryan,Basketball,,2.0,0.3765,3.0,6.0,1.610235,person,place,object,1.0,9.31741,4.0,1.0,2.2591200000000002,2.0,1.0,1.57653,3.0,0.0,4.64365,2.0,1.0,3.3434800000000005,1.0,1.0,1.79013,2.0,22.0,2.0,0.95214
347,grpA,22.0,6.0,Travel,Computer,George,Field,3.5009449999999998,5.0,0.15044000000000002,20.0,4.0,1.200855,object,person,place,0.0,3.5396,2.0,0.0,0.61026,2.0,0.0,2.20192,4.0,0.0,2.18242,2.0,0.0,0.9294049999999999,1.0,0.0,0.958945,1.0,23.0,2.0,0.5602600000000001
347,grpA,16.0,7.0,Winter,Record,Samuel,Dining Room,6.5345,2.0,0.78401,7.0,2.0,1.80898,place,person,object,0.0,6.018265,1.0,1.0,1.79318,2.0,0.0,1.06764,2.0,0.0,1.50914,2.0,0.0,1.36499,2.0,1.0,0.834145,1.0,14.0,2.0,1.550465
347,grpA,7.0,8.0,Art,Headphones,Denzel,Avenue,10.584035,2.0,4.80135,6.0,3.0,1.48653,person,object,place,0.0,4.08416,4.0,0.0,3.375545,4.0,0.0,2.3675200000000003,4.0,1.0,2.26743,1.0,1.0,1.310025,2.0,0.0,1.00124,2.0,18.0,3.0,0.509775
347,grpA,9.0,9.0,Shopping,Duster,Robert,Kitchen,,5.0,1.56826,19.0,3.0,1.04362,place,object,person,0.0,9.00785,1.0,1.0,1.656195,2.0,0.0,1.9922,4.0,0.0,2.40427,1.0,0.0,1.32579,2.0,1.0,2.201115,1.0,17.0,3.0,0.800095
347,grpA,23.0,10.0,Eating,Hammock,Brad,Restaurant,13.05071,1.0,0.21798499999999998,22.0,4.0,1.8154549999999998,person,object,place,0.0,2.234865,3.0,0.0,0.617775,2.0,0.0,0.462945,4.0,1.0,1.00101,1.0,0.0,0.55465,1.0,1.0,0.8565649999999999,2.0,20.0,2.0,1.135185
347,grpA,4.0,11.0,Exercise,Beachball,Will,Casino,8.267145,3.0,0.21793,12.0,1.0,1.667315,object,person,place,0.0,4.451169999999999,3.0,1.0,1.0359450000000001,2.0,0.0,1.2919450000000001,4.0,0.0,1.54879,2.0,1.0,1.29992,2.0,0.0,0.97536,2.0,9.0,1.0,0.59427
347,grpA,10.0,12.0,Work,Easel,Emma,Aquarium,5.9503900000000005,6.0,0.24268,16.0,6.0,1.66494,object,place,person,1.0,3.440375,2.0,1.0,2.3918,4.0,0.0,2.534395,3.0,1.0,2.2300400000000002,1.0,1.0,3.8175550000000005,2.0,1.0,0.97656,1.0,3.0,1.0,0.709335
347,grpA,14.0,13.0,Relaxing,Stroller,Steve,Ski Slope,6.81693,4.0,3.5163,8.0,3.0,3.851275,place,person,object,0.0,4.0585949999999995,3.0,1.0,1.56344,1.0,0.0,5.243365,4.0,1.0,4.03412,2.0,0.0,1.36014,1.0,1.0,1.8270549999999999,1.0,7.0,1.0,0.7426649999999999
347,grpA,15.0,14.0,Celebration,Football,Meryl,Harbor,13.333770000000001,4.0,1.35101,1.0,4.0,3.3421550000000004,object,person,place,0.0,6.80122,3.0,0.0,0.967325,2.0,1.0,1.23312,4.0,1.0,2.0263299999999997,2.0,1.0,2.700755,1.0,0.0,2.627495,2.0,16.0,1.0,0.5683199999999999
347,grpA,20.0,15.0,Friends,Backpack,Chris,Bridge,5.317585,5.0,0.6509149999999999,4.0,4.0,1.222135,object,place,person,1.0,7.417955,3.0,0.0,4.042669999999999,3.0,0.0,1.35867,3.0,0.0,2.80124,1.0,1.0,1.39224,1.0,1.0,2.1844099999999997,1.0,8.0,1.0,1.0518100000000001
347,grpA,6.0,16.0,Sightseeing,Ladder,Adam,Beach,7.50081,5.0,2.7168,11.0,3.0,1.8940400000000002,object,place,person,1.0,8.290105,2.0,0.0,3.130075,2.0,1.0,1.60884,3.0,0.0,1.96817,1.0,1.0,1.484175,2.0,0.0,1.048815,1.0,13.0,1.0,0.36914
