participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
310,grpA,6.0,0.0,Sightseeing,Ladder,Adam,Beach,,4.0,7.883265,14.0,6.0,0.651175,object,place,person,1.0,3.00464,2.0,1.0,1.505775,1.0,1.0,0.856665,3.0,1.0,2.66871,2.0,1.0,3.53179,2.0,1.0,2.7399400000000003,2.0,14.0,1.0,1.0165899999999999
310,grpA,16.0,1.0,Winter,Record,Samuel,Dining Room,,3.0,5.76737,17.0,5.0,1.351335,place,person,object,1.0,2.8334,2.0,1.0,3.246685,2.0,1.0,2.884055,3.0,0.0,1.9715049999999998,2.0,1.0,3.03818,1.0,1.0,1.34754,1.0,18.0,2.0,0.8400850000000001
310,grpA,3.0,2.0,Music,Bike,Halle,Lighthouse,13.468379999999998,5.0,3.88823,5.0,4.0,1.328555,person,place,object,1.0,9.1688,4.0,1.0,5.53466,1.0,1.0,1.505365,1.0,1.0,4.930575,2.0,1.0,2.891875,2.0,1.0,2.086115,2.0,6.0,2.0,1.1337899999999999
310,grpA,18.0,3.0,DIY,Chair,Beyonce,Wine Cellar,,3.0,2.684885,11.0,6.0,1.170405,person,object,place,1.0,1.499205,2.0,1.0,2.83737,3.0,1.0,2.184625,4.0,1.0,2.4877849999999997,2.0,1.0,1.856005,1.0,1.0,3.17017,1.0,11.0,1.0,0.3505
310,grpA,21.0,4.0,Home,Gloves,Angelina,Cabin,8.218695,5.0,2.471725,6.0,5.0,2.0003900000000003,place,object,person,1.0,7.13593,2.0,1.0,3.3487,1.0,1.0,1.96501,3.0,1.0,3.317995,1.0,1.0,1.9714,2.0,0.0,5.67157,1.0,0.0,1.0,3.35037
310,grpA,4.0,5.0,Exercise,Beachball,Will,Casino,,4.0,2.03403,21.0,6.0,0.848735,object,person,place,1.0,5.00444,1.0,1.0,0.653605,2.0,1.0,0.79838,2.0,0.0,2.02128,2.0,1.0,3.48735,2.0,1.0,2.76418,1.0,1.0,1.0,1.83181
310,grpA,9.0,6.0,Shopping,Duster,Robert,Kitchen,8.382480000000001,6.0,2.0834799999999998,15.0,6.0,0.8299700000000001,place,object,person,1.0,2.8841900000000003,4.0,1.0,3.4327349999999996,2.0,1.0,1.23555,1.0,1.0,1.5393700000000001,2.0,1.0,1.6795349999999998,1.0,1.0,3.78606,1.0,20.0,1.0,0.5845100000000001
310,grpA,2.0,7.0,Volunteer,Flowers,Jennifer,Waterfall,,3.0,2.48458,2.0,6.0,1.446395,person,place,object,1.0,2.61429,1.0,1.0,1.383645,3.0,1.0,1.9164450000000002,4.0,0.0,5.3998099999999996,1.0,1.0,4.291795,1.0,1.0,1.917935,1.0,13.0,1.0,0.5226850000000001
310,grpA,17.0,8.0,Summer,Puppy,Sandra,Circus,,5.0,2.13337,3.0,6.0,0.98488,object,person,place,1.0,4.983655000000001,4.0,0.0,2.63101,3.0,1.0,1.821305,1.0,1.0,2.3685099999999997,2.0,1.0,3.7002349999999997,1.0,1.0,2.00602,2.0,15.0,1.0,0.47065500000000005
310,grpA,7.0,9.0,Art,Headphones,Denzel,Avenue,,6.0,2.103495,12.0,6.0,1.06772,person,object,place,1.0,4.421985,2.0,1.0,1.0806149999999999,2.0,1.0,2.217495,3.0,1.0,3.35144,1.0,1.0,4.084169999999999,2.0,1.0,5.90521,1.0,7.0,2.0,2.25093
310,grpA,10.0,10.0,Work,Easel,Emma,Aquarium,,5.0,1.38462,19.0,6.0,0.524525,object,place,person,1.0,3.799085,2.0,1.0,1.68967,4.0,1.0,0.959995,4.0,1.0,2.84803,1.0,1.0,1.43488,2.0,1.0,2.151745,1.0,12.0,1.0,0.35026999999999997
310,grpA,23.0,11.0,Eating,Hammock,Brad,Restaurant,,3.0,3.96812,9.0,6.0,0.7510100000000001,person,object,place,1.0,9.479265,1.0,1.0,2.666545,3.0,1.0,1.11815,3.0,1.0,2.7378150000000003,1.0,1.0,1.535045,2.0,1.0,1.7847650000000002,2.0,2.0,1.0,0.548145
310,grpA,13.0,12.0,Errands,Stopwatch,Tom,Icerink,,5.0,2.316525,22.0,6.0,0.7170350000000001,place,object,person,1.0,3.587615,3.0,1.0,1.975555,4.0,1.0,1.667405,1.0,1.0,4.720435,1.0,1.0,1.368085,1.0,1.0,1.53294,2.0,23.0,1.0,0.50038
