participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
339,grpA,13.0,0.0,Errands,Stopwatch,Tom,Icerink,,3.0,26.26758,18.0,1.0,0.7352,place,object,person,0.0,10.9514,2.0,0.0,7.00174,3.0,0.0,1.06675,2.0,0.0,6.67203,2.0,1.0,2.5339650000000002,1.0,1.0,3.029995,2.0,16.0,2.0,1.686765
339,grpA,19.0,1.0,Vacation,Wine,Julia,Pool,,5.0,10.202515,11.0,1.0,0.92348,person,object,place,0.0,6.516895,2.0,0.0,7.966315,2.0,1.0,2.01825,2.0,1.0,1.95134,2.0,1.0,1.4987700000000002,1.0,0.0,3.101065,1.0,2.0,1.0,0.6212
339,grpA,14.0,2.0,Relaxing,Stroller,Steve,Ski Slope,9.449935,6.0,1.4199950000000001,4.0,6.0,1.39968,place,person,object,1.0,6.9681,1.0,1.0,0.853575,1.0,1.0,1.534295,2.0,1.0,3.51735,2.0,1.0,1.2689549999999998,2.0,1.0,1.582675,1.0,20.0,1.0,0.5659
339,grpA,2.0,3.0,Volunteer,Flowers,Jennifer,Waterfall,,2.0,5.8499,22.0,1.0,0.584285,person,place,object,0.0,15.584354999999999,4.0,0.0,7.454280000000001,2.0,1.0,2.2835900000000002,4.0,1.0,2.267735,2.0,1.0,5.332305,1.0,1.0,2.888265,1.0,1.0,1.0,0.5666100000000001
339,grpA,17.0,4.0,Summer,Puppy,Sandra,Circus,12.149185000000001,5.0,1.533475,8.0,2.0,1.01706,object,person,place,1.0,17.16747,4.0,0.0,2.86883,2.0,1.0,3.867235,1.0,0.0,2.438415,1.0,1.0,2.8001150000000004,1.0,1.0,5.41832,2.0,8.0,1.0,1.2184700000000002
339,grpA,16.0,5.0,Winter,Record,Samuel,Dining Room,10.466175,6.0,1.11635,20.0,6.0,1.06675,place,person,object,1.0,13.93115,2.0,1.0,2.38489,2.0,1.0,5.36747,3.0,1.0,1.6142299999999998,1.0,1.0,1.8664349999999998,1.0,0.0,1.301735,2.0,21.0,2.0,0.90043
339,grpA,23.0,6.0,Eating,Hammock,Brad,Restaurant,12.450610000000001,4.0,2.300435,9.0,5.0,2.31617,person,object,place,1.0,6.45028,1.0,1.0,2.30035,3.0,1.0,1.21624,3.0,1.0,1.9235799999999998,1.0,1.0,1.61914,2.0,1.0,1.61717,2.0,15.0,1.0,2.0173099999999997
339,grpA,21.0,7.0,Home,Gloves,Angelina,Cabin,,1.0,1.76709,3.0,1.0,1.15592,place,object,person,0.0,7.001119999999999,4.0,0.0,10.802105000000001,2.0,0.0,4.799725,4.0,1.0,2.0823400000000003,1.0,1.0,1.301135,2.0,1.0,2.00046,2.0,17.0,1.0,0.738645
339,grpA,10.0,8.0,Work,Easel,Emma,Aquarium,12.85228,5.0,1.519435,1.0,3.0,3.440575,object,place,person,1.0,6.633439999999999,2.0,1.0,5.252575,4.0,1.0,2.68226,4.0,1.0,1.5351350000000001,1.0,1.0,2.29917,2.0,1.0,1.739775,1.0,7.0,1.0,0.24961999999999998
339,grpA,6.0,9.0,Sightseeing,Ladder,Adam,Beach,11.48606,6.0,1.049715,15.0,1.0,0.619025,object,place,person,0.0,9.119205000000001,4.0,0.0,9.2349,3.0,1.0,3.902565,3.0,0.0,1.352775,1.0,1.0,3.6493,2.0,1.0,1.63511,2.0,0.0,1.0,3.45376
339,grpA,7.0,10.0,Art,Headphones,Denzel,Avenue,,4.0,3.350475,0.0,6.0,3.2340400000000002,person,object,place,1.0,7.316575,2.0,1.0,4.135205,2.0,1.0,3.3158849999999997,3.0,0.0,5.632045,2.0,1.0,3.1505650000000003,2.0,1.0,2.318685,1.0,4.0,3.0,3.53766
339,grpA,11.0,11.0,Games,Binoculars,Leonardo,Lake,,2.0,3.0516349999999997,7.0,1.0,0.66856,object,place,person,0.0,6.537215,2.0,1.0,5.5020050000000005,2.0,0.0,4.834785,1.0,0.0,2.8355,2.0,1.0,4.385225,1.0,0.0,3.7830199999999996,1.0,13.0,1.0,0.45159499999999997
339,grpA,12.0,12.0,Studying,Trampoline,Ellen,Classroom,,3.0,1.06749,10.0,3.0,2.16643,place,person,object,1.0,11.832675,4.0,1.0,1.5537100000000001,4.0,1.0,1.23347,4.0,0.0,6.954775,1.0,1.0,1.951975,2.0,1.0,1.218675,1.0,23.0,1.0,0.500505
339,grpA,15.0,13.0,Celebration,Football,Meryl,Harbor,13.400925,5.0,1.55112,14.0,6.0,1.2995450000000002,object,person,place,1.0,4.701645,1.0,1.0,1.1511,3.0,1.0,2.1680200000000003,4.0,1.0,2.15068,2.0,1.0,2.66952,1.0,1.0,1.23498,1.0,14.0,1.0,0.46681999999999996
339,grpA,4.0,14.0,Exercise,Beachball,Will,Casino,10.269260000000001,5.0,2.10161,19.0,1.0,2.18439,object,person,place,1.0,6.98215,1.0,0.0,5.0685150000000005,4.0,0.0,6.234355,4.0,0.0,4.102485,2.0,1.0,3.303035,2.0,1.0,3.335975,1.0,18.0,1.0,1.191915
339,grpA,1.0,15.0,Date,Pitcher,Reese,Studio,,5.0,1.3830850000000001,17.0,2.0,1.118385,person,place,object,0.0,3.2011849999999997,2.0,0.0,1.18761,1.0,0.0,5.632675,4.0,1.0,1.967545,1.0,1.0,3.01968,2.0,1.0,0.9172049999999999,2.0,10.0,1.0,0.31789
339,grpA,20.0,16.0,Friends,Backpack,Chris,Bridge,,5.0,1.183625,21.0,5.0,2.55114,object,place,person,1.0,7.486625,3.0,1.0,1.949525,4.0,1.0,1.60477,2.0,1.0,2.482335,2.0,1.0,1.132595,1.0,1.0,3.8999800000000002,1.0,3.0,1.0,0.41706000000000004
339,grpA,8.0,17.0,Competition,Goggles,Scarlett,Savannah,,4.0,1.384185,13.0,1.0,0.96552,place,object,person,1.0,10.037645,1.0,0.0,4.03263,3.0,1.0,3.133165,4.0,1.0,6.80315,1.0,1.0,1.182505,2.0,0.0,2.65073,2.0,6.0,1.0,0.7659199999999999
339,grpA,5.0,18.0,Party,Satchel,Anne,Bowling,,5.0,1.2349450000000002,2.0,1.0,1.64864,place,person,object,1.0,12.27362,3.0,0.0,5.2008849999999995,4.0,0.0,8.700855,3.0,1.0,3.7682,2.0,1.0,1.30069,1.0,1.0,1.400925,2.0,12.0,1.0,0.24975
339,grpA,3.0,19.0,Music,Bike,Halle,Lighthouse,,3.0,1.0681,6.0,2.0,2.78504,person,place,object,0.0,5.11972,2.0,1.0,9.25253,1.0,1.0,3.01891,1.0,1.0,3.222175,2.0,1.0,2.75592,2.0,1.0,1.8012650000000001,2.0,5.0,1.0,1.684225
339,grpA,9.0,20.0,Shopping,Duster,Robert,Kitchen,,1.0,1.836425,23.0,1.0,0.48821000000000003,place,object,person,0.0,14.03803,2.0,1.0,2.06724,2.0,1.0,4.067085,1.0,0.0,9.220835000000001,1.0,0.0,1.71695,2.0,1.0,1.9485150000000002,1.0,22.0,2.0,0.7672399999999999
339,grpA,22.0,21.0,Travel,Computer,George,Field,10.515805,2.0,0.73719,12.0,3.0,2.7558599999999998,object,person,place,1.0,5.60114,4.0,1.0,11.748535,1.0,1.0,1.97265,1.0,0.0,2.6657,2.0,1.0,2.76914,2.0,1.0,2.951705,2.0,19.0,2.0,0.986605
339,grpA,18.0,22.0,DIY,Chair,Beyonce,Wine Cellar,,4.0,1.400085,5.0,6.0,1.0520399999999999,person,object,place,1.0,1.652995,2.0,1.0,1.84991,3.0,1.0,1.688545,4.0,1.0,1.16949,2.0,1.0,2.06921,1.0,1.0,2.1332,1.0,11.0,1.0,0.22249000000000002
339,grpA,24.0,23.0,Family,Extinguisher,Ryan,Basketball,,5.0,2.78381,16.0,4.0,1.633185,person,place,object,1.0,6.285405,4.0,1.0,1.3693600000000001,2.0,1.0,1.520965,3.0,0.0,2.36775,2.0,1.0,1.8859400000000002,1.0,1.0,1.367805,2.0,9.0,1.0,0.39819499999999997
