participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
155,7.0,0.0,Date,Football,Nicole,Dining Room,13.565,8.0,6.0,0.314,place,person,object,0.0,3.803,3.0,0.0,2.2359999999999998,2.0,1.0,3.0180000000000002,1.0,1.0,1.246,1.0,0.0,1.395,1.0,0.0,1.827,1.0,19.0,1.0,0.028999999999999998
155,20.0,1.0,Exercise,Extinguisher,Denzel,Field,13.235999999999999,23.0,5.0,0.10099999999999999,person,place,object,0.0,0.076,4.0,0.0,0.036000000000000004,2.0,0.0,0.20199999999999999,1.0,0.0,0.268,1.0,0.0,0.003,1.0,1.0,0.135,2.0,18.0,1.0,0.04
155,12.0,2.0,Winter,Computer,Angelina,Restaurant,13.954,10.0,6.0,0.523,object,person,place,0.0,2.92,4.0,0.0,1.516,1.0,0.0,1.693,2.0,1.0,1.3,1.0,1.0,2.086,1.0,0.0,0.48,1.0,1.0,1.0,0.536
155,3.0,3.0,Games,Bike,George,Wine Cellar,13.727,19.0,5.0,0.032,person,object,place,0.0,0.032,3.0,0.0,0.198,1.0,0.0,0.124,2.0,0.0,0.001,2.0,1.0,0.077,2.0,1.0,0.145,2.0,21.0,1.0,0.067
155,10.0,4.0,Sightseeing,Wine,Samuel,Beach,3.841,5.0,6.0,1.1640000000000001,person,place,object,0.0,1.929,3.0,1.0,3.466,2.0,0.0,1.151,1.0,1.0,2.095,1.0,0.0,1.27,1.0,0.0,1.499,1.0,10.0,1.0,0.44
155,4.0,5.0,Art,Binoculars,Ryan,Lake,13.595,17.0,2.0,0.003,object,place,person,0.0,0.147,2.0,0.0,0.08900000000000001,4.0,0.0,0.161,1.0,1.0,0.001,1.0,1.0,0.002,1.0,0.0,0.161,2.0,11.0,1.0,0.217
155,17.0,6.0,Home,Goggles,Mindy,Casino,13.817,6.0,6.0,1.284,person,place,object,0.0,4.007,3.0,0.0,3.8760000000000003,4.0,0.0,1.649,2.0,1.0,2.875,1.0,0.0,1.558,1.0,1.0,1.493,1.0,7.0,2.0,0.731
155,8.0,7.0,DIY,Headphones,Meryl,Ski Slope,10.214,4.0,6.0,1.094,object,person,place,1.0,4.974,2.0,0.0,2.5980000000000003,1.0,0.0,0.7290000000000001,2.0,1.0,2.759,1.0,0.0,2.431,2.0,0.0,0.9570000000000001,1.0,0.0,1.0,2.509
155,21.0,8.0,Music,Beachball,Leonardo,Savannah,2.415,14.0,6.0,0.28,place,object,person,1.0,5.597,3.0,1.0,0.06,2.0,1.0,0.028999999999999998,3.0,1.0,0.41700000000000004,2.0,0.0,1.44,1.0,1.0,0.09300000000000001,2.0,2.0,1.0,0.36200000000000004
155,19.0,9.0,Relaxing,Backpack,Robert,Lighthouse,12.648,9.0,6.0,0.20600000000000002,place,object,person,0.0,1.901,2.0,0.0,0.997,2.0,1.0,2.282,3.0,1.0,1.621,1.0,1.0,1.395,1.0,1.0,1.726,2.0,17.0,1.0,0.309
155,6.0,10.0,Family,Stopwatch,Tom,Basketball,12.380999999999998,13.0,6.0,0.166,object,place,person,0.0,1.238,1.0,0.0,2.254,3.0,1.0,1.212,1.0,1.0,0.611,1.0,1.0,0.298,1.0,1.0,2.261,2.0,6.0,1.0,0.272
155,16.0,11.0,Volunteer,Easel,Steve,Aquarium,,1.0,6.0,2.056,object,person,place,1.0,2.476,4.0,0.0,1.146,4.0,1.0,4.357,2.0,1.0,1.774,2.0,1.0,2.016,1.0,0.0,1.999,1.0,4.0,1.0,0.271
155,15.0,12.0,Errands,Hammock,Emily,Bridge,,3.0,6.0,0.981,object,place,person,0.0,3.6860000000000004,3.0,0.0,1.133,3.0,0.0,2.734,3.0,0.0,1.6340000000000001,2.0,1.0,2.276,2.0,1.0,1.297,1.0,9.0,1.0,0.27
155,2.0,13.0,Studying,Duster,Chris,Classroom,,20.0,5.0,0.066,place,object,person,0.0,0.218,3.0,0.0,0.256,3.0,1.0,0.006999999999999999,3.0,0.0,0.20199999999999999,1.0,1.0,0.068,2.0,1.0,0.235,2.0,8.0,1.0,0.33399999999999996
155,24.0,14.0,Eating,Stroller,Halle,Circus,,16.0,1.0,0.156,person,place,object,1.0,0.07200000000000001,1.0,0.0,0.047,2.0,0.0,0.048,4.0,1.0,0.263,1.0,1.0,0.003,2.0,0.0,0.065,1.0,12.0,1.0,0.384
155,22.0,15.0,Competition,Chair,Adam,Kitchen,,21.0,1.0,0.069,object,person,place,0.0,0.002,2.0,0.0,0.002,2.0,0.0,0.003,2.0,1.0,1.7630000000000001,1.0,1.0,0.001,1.0,0.0,0.046,1.0,13.0,1.0,0.589
155,23.0,16.0,Party,Puppy,Ellen,Avenue,5.519,7.0,6.0,0.8690000000000001,place,person,object,0.0,1.187,2.0,0.0,0.759,2.0,0.0,1.535,3.0,0.0,0.871,1.0,1.0,2.792,1.0,1.0,1.048,1.0,14.0,1.0,0.309
155,18.0,17.0,Work,Flowers,Beyonce,Cabin,,11.0,6.0,0.149,place,object,person,0.0,1.088,2.0,0.0,0.6859999999999999,1.0,0.0,0.937,2.0,1.0,0.602,1.0,0.0,0.534,1.0,0.0,1.41,2.0,23.0,1.0,0.047
155,1.0,18.0,Celebration,Trampoline,Will,Icerink,,22.0,1.0,0.036000000000000004,person,object,place,0.0,0.07,1.0,1.0,0.038,4.0,0.0,0.049,2.0,1.0,0.098,1.0,0.0,0.003,1.0,1.0,0.204,1.0,20.0,1.0,0.039
155,5.0,19.0,Shopping,Record,Brad,Harbor,,2.0,6.0,1.31,place,person,object,0.0,4.11,1.0,0.0,2.283,3.0,0.0,6.2170000000000005,1.0,0.0,3.1519999999999997,1.0,0.0,2.031,2.0,0.0,2.285,1.0,3.0,1.0,0.47100000000000003
155,14.0,20.0,Vacation,Satchel,Reese,Bowling,,15.0,4.0,0.001,place,person,object,1.0,0.03,3.0,1.0,0.001,1.0,0.0,0.002,3.0,0.0,0.138,2.0,0.0,0.335,2.0,0.0,0.27899999999999997,1.0,5.0,3.0,1.297
155,9.0,21.0,Travel,Gloves,Jennifer,Studio,4.583,18.0,4.0,0.001,object,place,person,0.0,0.002,3.0,1.0,0.002,2.0,0.0,0.09300000000000001,1.0,0.0,0.006999999999999999,1.0,1.0,0.146,2.0,0.0,0.002,2.0,22.0,1.0,0.302
155,13.0,22.0,Summer,Jug,Julia,Pool,2.766,12.0,6.0,0.46799999999999997,person,object,place,1.0,2.124,1.0,0.0,3.613,4.0,0.0,2.877,2.0,0.0,1.7890000000000001,1.0,0.0,0.6990000000000001,1.0,0.0,0.877,1.0,15.0,1.0,0.17600000000000002
155,11.0,23.0,Friends,Ladder,Sandra,Waterfall,13.79,0.0,6.0,5.9879999999999995,person,object,place,0.0,7.894,4.0,1.0,2.695,4.0,1.0,2.3819999999999997,4.0,1.0,2.372,1.0,1.0,1.7080000000000002,2.0,1.0,1.121,1.0,16.0,2.0,0.574
