participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
170,21.0,0.0,Music,Beachball,Leonardo,Savannah,9.512705,8.0,5.0,6.98561,place,object,person,0.0,5.9897599999999995,1.0,1.0,6.855155,2.0,1.0,2.71632,3.0,1.0,3.4221699999999995,2.0,0.0,1.47969,1.0,1.0,2.953825,2.0,9.0,1.0,1.153535
170,2.0,1.0,Studying,Duster,Chris,Classroom,6.23226,23.0,1.0,2.342705,place,object,person,1.0,0.56017,1.0,1.0,1.906565,1.0,1.0,2.319575,3.0,1.0,2.46893,2.0,0.0,1.4680799999999998,1.0,0.0,1.45418,1.0,13.0,3.0,0.5224300000000001
170,10.0,2.0,Sightseeing,Wine,Samuel,Beach,1.9998349999999998,7.0,6.0,4.5071,person,place,object,1.0,3.8366300000000004,2.0,1.0,7.135035,2.0,0.0,3.9575050000000003,4.0,1.0,5.46816,1.0,0.0,1.9044,1.0,1.0,1.7216799999999999,2.0,20.0,3.0,0.88459
170,19.0,3.0,Relaxing,Backpack,Robert,Lighthouse,3.36289,9.0,2.0,4.96955,place,object,person,1.0,3.6577,3.0,1.0,4.2752349999999995,4.0,1.0,2.8523099999999997,3.0,1.0,1.93435,1.0,1.0,1.12986,1.0,1.0,2.595355,2.0,11.0,2.0,1.211825
170,23.0,4.0,Party,Puppy,Ellen,Avenue,2.57436,12.0,2.0,3.76309,place,person,object,1.0,3.892115,1.0,1.0,1.24881,3.0,1.0,1.0842,4.0,0.0,1.7353150000000002,1.0,1.0,2.33895,1.0,0.0,2.56855,2.0,10.0,1.0,0.5015
170,11.0,5.0,Friends,Ladder,Sandra,Waterfall,4.119395,20.0,2.0,2.30056,person,object,place,1.0,2.84239,3.0,0.0,27.8519,3.0,1.0,4.25651,4.0,0.0,2.659345,2.0,1.0,2.15135,2.0,0.0,3.0851,2.0,3.0,3.0,0.886675
170,17.0,6.0,Home,Goggles,Mindy,Casino,4.652775,5.0,3.0,3.24549,person,place,object,0.0,2.858285,4.0,0.0,5.84014,3.0,1.0,3.08418,4.0,0.0,2.36848,2.0,0.0,6.968525,1.0,1.0,2.185435,1.0,21.0,3.0,0.41653
170,14.0,7.0,Vacation,Satchel,Reese,Bowling,3.4268,16.0,3.0,2.324895,place,person,object,0.0,4.169875,4.0,0.0,1.9543,3.0,1.0,0.9798549999999999,1.0,0.0,1.8002799999999999,2.0,1.0,1.8130849999999998,1.0,0.0,1.32978,1.0,6.0,3.0,1.1248200000000002
170,16.0,8.0,Volunteer,Easel,Steve,Aquarium,2.713475,15.0,1.0,1.4491,object,person,place,1.0,7.9649399999999995,4.0,1.0,1.74616,3.0,1.0,1.592735,2.0,1.0,5.016735,2.0,0.0,1.28778,2.0,0.0,3.2883949999999995,1.0,18.0,2.0,0.9892299999999999
170,9.0,9.0,Travel,Gloves,Jennifer,Studio,,10.0,2.0,3.26937,object,place,person,0.0,2.91324,3.0,0.0,6.3985,4.0,0.0,1.9311450000000001,1.0,0.0,2.184495,1.0,1.0,2.7347799999999998,2.0,1.0,4.450405,1.0,8.0,1.0,0.467455
170,6.0,10.0,Family,Stopwatch,Tom,Basketball,,21.0,1.0,1.28415,object,place,person,1.0,3.1020849999999998,4.0,0.0,4.2350699999999994,3.0,0.0,1.056465,2.0,1.0,1.317065,1.0,0.0,1.746635,2.0,1.0,2.32114,2.0,16.0,2.0,1.63286
170,18.0,11.0,Work,Flowers,Beyonce,Cabin,,0.0,1.0,6.396725,place,object,person,0.0,11.1537,3.0,0.0,7.5336,2.0,0.0,1.5363149999999999,3.0,1.0,5.262185,1.0,0.0,3.87178,1.0,0.0,3.6042099999999997,2.0,17.0,2.0,3.289505
170,12.0,12.0,Winter,Computer,Angelina,Restaurant,,11.0,1.0,2.13808,object,person,place,0.0,4.054775,4.0,0.0,2.7664,2.0,0.0,3.80389,2.0,1.0,1.687355,1.0,0.0,2.130395,2.0,1.0,2.3126849999999997,2.0,23.0,3.0,0.866375
170,4.0,13.0,Art,Binoculars,Ryan,Lake,,2.0,2.0,3.00095,object,place,person,1.0,15.401639999999999,3.0,0.0,6.155165,1.0,0.0,3.65155,1.0,1.0,2.2235,1.0,1.0,3.5841,1.0,0.0,5.392755,2.0,2.0,2.0,1.3001850000000001
170,15.0,14.0,Errands,Hammock,Emily,Bridge,,22.0,1.0,0.985675,object,place,person,0.0,3.4523099999999998,4.0,1.0,3.574135,2.0,1.0,1.3849850000000001,2.0,0.0,1.56875,2.0,0.0,0.838665,1.0,0.0,1.4645549999999998,2.0,19.0,3.0,0.7149449999999999
170,8.0,15.0,DIY,Headphones,Meryl,Ski Slope,,4.0,2.0,2.625025,object,person,place,1.0,3.62491,2.0,0.0,0.805075,2.0,1.0,3.987625,3.0,0.0,4.267485,2.0,0.0,2.701775,2.0,0.0,1.9453349999999998,1.0,12.0,3.0,0.92305
170,13.0,16.0,Summer,Jug,Julia,Pool,9.563865,14.0,1.0,3.6171599999999997,person,object,place,1.0,0.9415950000000001,1.0,0.0,3.7839199999999997,2.0,0.0,3.20254,1.0,0.0,1.10585,1.0,1.0,2.23632,2.0,0.0,0.6877949999999999,1.0,22.0,3.0,0.50092
170,20.0,17.0,Exercise,Extinguisher,Denzel,Field,13.21395,17.0,4.0,2.186255,person,place,object,1.0,5.71992,1.0,1.0,3.4870650000000003,4.0,1.0,3.20337,2.0,0.0,2.328875,1.0,1.0,2.128545,2.0,0.0,1.90962,1.0,5.0,3.0,1.0397100000000001
170,3.0,18.0,Games,Bike,George,Wine Cellar,1.1355899999999999,18.0,1.0,1.838155,person,object,place,1.0,1.296665,2.0,0.0,4.402915,1.0,0.0,5.0865849999999995,3.0,0.0,1.5233700000000001,2.0,0.0,1.634115,1.0,1.0,2.7339599999999997,2.0,1.0,3.0,2.432515
170,7.0,19.0,Date,Football,Nicole,Dining Room,9.52609,13.0,3.0,4.161445,place,person,object,1.0,2.75771,1.0,1.0,4.29552,3.0,0.0,3.2856400000000003,3.0,1.0,1.672495,1.0,1.0,1.42385,2.0,1.0,1.303585,2.0,15.0,3.0,1.288015
170,1.0,20.0,Celebration,Trampoline,Will,Icerink,1.764825,19.0,6.0,3.18816,person,object,place,1.0,1.11906,2.0,1.0,1.8359450000000002,4.0,1.0,1.93435,4.0,1.0,2.059205,1.0,1.0,1.3840350000000001,2.0,1.0,1.78535,1.0,4.0,1.0,0.686925
170,5.0,21.0,Shopping,Record,Brad,Harbor,3.3934800000000003,1.0,5.0,3.968875,place,person,object,0.0,8.733205,3.0,0.0,2.17008,1.0,0.0,5.980180000000001,2.0,1.0,6.421215,2.0,1.0,1.84863,1.0,1.0,3.087065,2.0,0.0,1.0,4.620465
170,22.0,22.0,Competition,Chair,Adam,Kitchen,1.134305,6.0,3.0,3.6690050000000003,object,person,place,1.0,6.13512,4.0,0.0,3.653545,4.0,1.0,3.8385300000000004,3.0,0.0,3.64376,2.0,1.0,1.801875,1.0,1.0,4.017205000000001,2.0,7.0,1.0,0.66327
170,24.0,23.0,Eating,Stroller,Halle,Circus,3.3523,3.0,2.0,7.52413,person,place,object,0.0,2.0112650000000003,2.0,0.0,7.833175,3.0,0.0,2.90654,3.0,1.0,1.8783450000000002,1.0,0.0,4.41892,1.0,1.0,2.21691,2.0,14.0,3.0,0.370185
