participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
125,19.0,0.0,Relaxing,Backpack,Robert,Lighthouse,10.52417,22.0,1.0,0.010475,place,object,person,0.0,0.000325,1.0,0.0,0.01374,2.0,1.0,0.05956,3.0,1.0,0.10503499999999999,1.0,1.0,0.086865,1.0,0.0,0.18993,1.0,15.0,1.0,0.17707
125,16.0,1.0,Volunteer,Easel,Steve,Aquarium,7.1162149999999995,4.0,3.0,0.053704999999999996,object,person,place,0.0,0.07053,1.0,1.0,0.04935,3.0,0.0,0.025235,3.0,0.0,0.124615,1.0,1.0,0.22708499999999998,1.0,0.0,0.163785,1.0,17.0,1.0,0.12095
125,12.0,2.0,Winter,Computer,Angelina,Restaurant,13.804704999999998,8.0,2.0,0.005425,object,person,place,0.0,0.1833,3.0,0.0,0.025885000000000002,2.0,0.0,0.399925,2.0,0.0,0.300555,2.0,1.0,0.166165,1.0,0.0,0.004155,1.0,12.0,3.0,0.16749
125,5.0,3.0,Shopping,Record,Brad,Harbor,9.11468,7.0,3.0,0.03417,place,person,object,0.0,0.16585,1.0,1.0,0.006540000000000001,2.0,0.0,0.053489999999999996,3.0,0.0,0.101495,1.0,1.0,0.19453,1.0,1.0,0.24861999999999998,2.0,18.0,1.0,0.012145
125,17.0,4.0,Home,Goggles,Mindy,Casino,0.6349100000000001,11.0,3.0,0.013875,person,place,object,0.0,0.01255,3.0,0.0,0.046155,3.0,0.0,0.029785000000000002,3.0,1.0,0.13745,1.0,0.0,0.202545,1.0,1.0,0.248135,1.0,6.0,1.0,0.08785499999999999
125,7.0,5.0,Date,Football,Nicole,Dining Room,,15.0,3.0,0.12216500000000001,place,person,object,0.0,0.035235,3.0,0.0,0.175805,1.0,1.0,0.20674,1.0,1.0,0.03242,1.0,0.0,0.006529999999999999,1.0,1.0,0.01281,2.0,10.0,2.0,0.00033
125,21.0,6.0,Music,Beachball,Leonardo,Savannah,3.080595,21.0,3.0,0.02851,place,object,person,1.0,0.021575,3.0,0.0,0.11222,1.0,0.0,0.001425,1.0,0.0,0.49896499999999994,1.0,0.0,0.013784999999999999,1.0,1.0,0.011375,2.0,19.0,1.0,0.16908
125,24.0,7.0,Eating,Stroller,Halle,Circus,,19.0,3.0,0.00426,person,place,object,1.0,0.198295,1.0,0.0,0.039295,3.0,0.0,0.174925,1.0,0.0,0.21773,2.0,1.0,4.2533900000000004,2.0,0.0,0.1973,1.0,5.0,3.0,0.00611
125,2.0,8.0,Studying,Duster,Chris,Classroom,,18.0,3.0,0.026405,place,object,person,0.0,0.0012050000000000001,2.0,0.0,0.216365,3.0,0.0,0.16835999999999998,1.0,0.0,0.181585,1.0,0.0,0.01633,1.0,0.0,0.19638,1.0,11.0,1.0,0.10618
125,3.0,9.0,Games,Bike,George,Wine Cellar,,16.0,1.0,0.025710000000000004,person,object,place,0.0,0.21578000000000003,1.0,1.0,0.02613,2.0,0.0,0.72378,3.0,1.0,0.21223499999999998,1.0,0.0,0.21823,1.0,1.0,0.000465,2.0,0.0,1.0,0.8441549999999999
125,9.0,10.0,Travel,Gloves,Jennifer,Studio,13.89163,1.0,1.0,0.03218,object,place,person,0.0,0.12567,2.0,0.0,0.19068,3.0,0.0,0.124175,1.0,1.0,0.199605,2.0,1.0,0.225005,2.0,1.0,0.111105,1.0,20.0,3.0,0.319905
125,14.0,11.0,Vacation,Satchel,Reese,Bowling,11.57527,9.0,1.0,0.151505,place,person,object,0.0,0.028505000000000003,1.0,0.0,0.003055,2.0,0.0,0.0009,2.0,0.0,0.012740000000000001,2.0,1.0,0.04056,1.0,0.0,0.240235,1.0,1.0,3.0,0.07709500000000001
125,11.0,12.0,Friends,Ladder,Sandra,Waterfall,5.849655,20.0,1.0,0.0119,person,object,place,0.0,0.12538,2.0,0.0,0.0499,1.0,0.0,0.00775,3.0,1.0,0.11031500000000001,1.0,0.0,0.211225,1.0,1.0,0.189445,1.0,16.0,1.0,0.134225
125,6.0,13.0,Family,Stopwatch,Tom,Basketball,2.76392,5.0,3.0,0.009425,object,place,person,0.0,0.12143,1.0,0.0,0.011235,2.0,0.0,0.004785,3.0,1.0,0.15156,1.0,0.0,0.01435,2.0,0.0,0.19789500000000002,1.0,23.0,1.0,0.176155
125,22.0,14.0,Competition,Chair,Adam,Kitchen,5.534205,12.0,1.0,0.021975,object,person,place,0.0,0.236165,2.0,0.0,0.0393,2.0,0.0,0.002235,2.0,0.0,0.015340000000000001,2.0,1.0,0.169785,1.0,1.0,0.00072,2.0,7.0,1.0,0.16288
125,8.0,15.0,DIY,Headphones,Meryl,Ski Slope,5.327405000000001,10.0,1.0,0.2786,object,person,place,0.0,0.0234,3.0,0.0,0.178705,1.0,1.0,0.036515,3.0,1.0,0.17194,1.0,0.0,0.46065,2.0,1.0,0.270575,2.0,13.0,1.0,0.107225
125,4.0,16.0,Art,Binoculars,Ryan,Lake,3.3477699999999997,23.0,3.0,0.073325,object,place,person,0.0,0.19927999999999998,1.0,0.0,0.021845,2.0,1.0,0.11823,3.0,1.0,0.14543499999999998,1.0,1.0,0.16875,1.0,0.0,0.26088,2.0,9.0,1.0,0.15496500000000002
125,15.0,17.0,Errands,Hammock,Emily,Bridge,3.6569300000000005,14.0,1.0,0.06772,object,place,person,0.0,0.00987,2.0,1.0,0.0055450000000000004,2.0,0.0,0.00449,3.0,1.0,0.13587,1.0,1.0,0.00037999999999999997,2.0,1.0,0.26292,1.0,22.0,1.0,0.011155
125,1.0,18.0,Celebration,Trampoline,Will,Icerink,7.808875,2.0,2.0,0.221565,person,object,place,0.0,0.23535,1.0,0.0,0.16662000000000002,1.0,0.0,0.0218,3.0,1.0,0.176525,1.0,0.0,0.24389,1.0,0.0,0.00718,2.0,4.0,1.0,0.09021
125,23.0,19.0,Party,Puppy,Ellen,Avenue,,3.0,2.0,0.891735,place,person,object,0.0,0.033505,3.0,1.0,0.00032,3.0,0.0,0.12408499999999999,2.0,0.0,0.19533,1.0,0.0,0.023915000000000002,2.0,0.0,0.1766,2.0,14.0,1.0,0.05619
