participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
172,18.0,0.0,Work,Flowers,Beyonce,Cabin,11.988,8.0,1.0,1.9369999999999998,place,object,person,1.0,2.9079,1.0,1.0,2.9493,4.0,1.0,2.9878,4.0,1.0,5.6765,1.0,1.0,2.4516,2.0,1.0,5.1796,1.0,20.0,1.0,0.6047
172,13.0,1.0,Summer,Jug,Julia,Pool,11.0215,4.0,3.0,1.8513,person,object,place,1.0,4.0568,1.0,0.0,1.8183,1.0,0.0,3.0007,2.0,1.0,1.6835,2.0,0.0,1.8222,1.0,0.0,1.9233,1.0,12.0,2.0,0.9618
172,12.0,2.0,Winter,Computer,Angelina,Restaurant,11.7556,10.0,2.0,1.2669,object,person,place,0.0,3.2281,3.0,0.0,2.1955,4.0,0.0,4.755,2.0,1.0,2.4256,1.0,1.0,1.1877,1.0,0.0,1.9119,1.0,4.0,1.0,1.6742
172,23.0,3.0,Party,Puppy,Ellen,Avenue,7.8545,5.0,3.0,3.9039,place,person,object,0.0,3.8196,3.0,0.0,1.9376,4.0,1.0,8.1014,4.0,1.0,1.8204,2.0,1.0,2.1506,1.0,1.0,1.0705,1.0,0.0,1.0,4.5845
172,5.0,4.0,Shopping,Record,Brad,Harbor,8.3524,7.0,3.0,2.2372,place,person,object,1.0,5.5425,2.0,1.0,1.704,2.0,1.0,2.0709,4.0,1.0,1.7449,2.0,1.0,5.1111,1.0,1.0,1.5913,2.0,21.0,1.0,0.7522
172,24.0,5.0,Eating,Stroller,Halle,Circus,6.0715,21.0,1.0,1.5753,person,place,object,1.0,1.9879,1.0,0.0,2.0340000000000003,4.0,1.0,2.2605,2.0,1.0,1.0433,1.0,0.0,1.6607,1.0,0.0,1.2498,1.0,22.0,2.0,0.95
172,14.0,6.0,Vacation,Satchel,Reese,Bowling,5.6041,9.0,3.0,6.2889,place,person,object,0.0,4.6013,4.0,0.0,1.3613,2.0,0.0,4.1851,4.0,1.0,2.4906,1.0,1.0,1.8711,1.0,0.0,3.1322,1.0,11.0,2.0,2.3912
172,15.0,7.0,Errands,Hammock,Emily,Bridge,3.8882,15.0,1.0,1.3505,object,place,person,0.0,1.2665,2.0,1.0,2.9006,2.0,0.0,1.7029,1.0,1.0,2.1859,1.0,1.0,3.1776,2.0,1.0,1.0913,1.0,8.0,2.0,1.8869999999999998
172,20.0,8.0,Exercise,Extinguisher,Denzel,Field,7.9055,19.0,1.0,1.4961,person,place,object,1.0,4.1267,1.0,0.0,1.7525,2.0,1.0,1.9127,2.0,1.0,1.5247,2.0,1.0,1.9344,2.0,1.0,2.1662,2.0,10.0,1.0,0.813
172,19.0,9.0,Relaxing,Backpack,Robert,Lighthouse,,2.0,3.0,2.668,place,object,person,0.0,8.7047,4.0,0.0,8.5865,2.0,0.0,1.5185,4.0,1.0,2.3357,1.0,1.0,2.6184,1.0,0.0,2.7701,1.0,18.0,1.0,0.3515
172,3.0,10.0,Games,Bike,George,Wine Cellar,7.8404,0.0,4.0,3.6335,person,object,place,0.0,6.6571,4.0,0.0,8.8169,1.0,0.0,4.4504,3.0,1.0,2.6544,1.0,1.0,3.9054,2.0,0.0,2.0005,1.0,23.0,2.0,0.7162
172,10.0,11.0,Sightseeing,Wine,Samuel,Beach,1.604,1.0,3.0,5.4913,person,place,object,0.0,4.3192,1.0,0.0,3.5539,4.0,0.0,3.6078,4.0,1.0,2.2882,1.0,0.0,1.8664,1.0,1.0,2.3399,2.0,5.0,1.0,0.5508
172,22.0,12.0,Competition,Chair,Adam,Kitchen,3.7603,23.0,2.0,1.7287,object,person,place,0.0,2.5673,1.0,1.0,1.9208,3.0,0.0,3.5263,4.0,1.0,2.8357,1.0,1.0,0.6823,1.0,1.0,3.4511,2.0,19.0,1.0,0.3014
172,9.0,13.0,Travel,Gloves,Jennifer,Studio,3.7222,11.0,1.0,2.5579,object,place,person,0.0,3.873,2.0,1.0,5.1537,2.0,1.0,1.9231,2.0,1.0,4.1277,2.0,0.0,1.3336,1.0,1.0,1.4041,1.0,15.0,1.0,0.3677
172,2.0,14.0,Studying,Duster,Chris,Classroom,4.0078,20.0,1.0,1.2786,place,object,person,0.0,6.0587,4.0,0.0,2.3494,4.0,0.0,2.4842,4.0,1.0,3.1442,2.0,0.0,1.5289,1.0,0.0,2.7611,1.0,9.0,2.0,1.4208
172,16.0,15.0,Volunteer,Easel,Steve,Aquarium,3.3360000000000003,18.0,1.0,5.8283,object,person,place,0.0,2.9373,2.0,0.0,3.1996,4.0,1.0,4.11,2.0,1.0,1.4195,2.0,1.0,0.8676,1.0,1.0,2.6715,2.0,17.0,1.0,0.2565
172,1.0,16.0,Celebration,Trampoline,Will,Icerink,,16.0,1.0,1.359,person,object,place,0.0,2.2563,1.0,0.0,1.3572,1.0,1.0,4.1993,4.0,0.0,3.3694,2.0,1.0,1.1031,2.0,0.0,0.9234,2.0,7.0,1.0,0.3343
172,7.0,17.0,Date,Football,Nicole,Dining Room,3.8086,3.0,2.0,4.4836,place,person,object,0.0,3.7993,4.0,0.0,3.9715,2.0,0.0,3.3873,3.0,0.0,3.1763,2.0,1.0,2.2896,2.0,1.0,3.3687,2.0,2.0,2.0,2.4789
172,6.0,18.0,Family,Stopwatch,Tom,Basketball,3.0925,22.0,1.0,2.6739,object,place,person,0.0,2.3727,3.0,0.0,1.6575,2.0,0.0,0.6891,3.0,1.0,1.6719,1.0,0.0,2.6169,2.0,1.0,2.094,2.0,14.0,1.0,1.4082
172,21.0,19.0,Music,Beachball,Leonardo,Savannah,5.2832,6.0,2.0,7.4891,place,object,person,0.0,6.7381,4.0,0.0,5.4583,4.0,1.0,2.1021,3.0,0.0,6.3826,1.0,1.0,8.0277,2.0,1.0,1.9259,2.0,1.0,1.0,0.9283
172,8.0,20.0,DIY,Headphones,Meryl,Ski Slope,2.7452,14.0,1.0,4.4049,object,person,place,0.0,4.1065,3.0,0.0,2.3069,4.0,1.0,3.8241,3.0,1.0,2.5256,1.0,1.0,1.0854,1.0,0.0,1.4332,1.0,3.0,2.0,1.9682
