participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
120,3.0,0.0,Games,Bike,George,Wine Cellar,,21.0,3.0,6.99,person,object,place,0.0,1.639,4.0,0.0,2.128,1.0,0.0,0.986,2.0,1.0,2.608,1.0,0.0,1.209,1.0,1.0,1.666,2.0,1.0,1.0,0.669
120,9.0,1.0,Travel,Gloves,Jennifer,Studio,,8.0,3.0,3.218,object,place,person,1.0,3.39,1.0,1.0,3.839,2.0,1.0,0.659,2.0,1.0,3.505,2.0,1.0,3.117,2.0,1.0,2.117,1.0,22.0,1.0,0.425
120,5.0,2.0,Shopping,Record,Brad,Harbor,,7.0,3.0,5.72,place,person,object,0.0,1.507,1.0,1.0,1.0759999999999998,2.0,0.0,0.721,2.0,0.0,1.775,1.0,1.0,2.0709999999999997,1.0,1.0,1.504,2.0,17.0,1.0,0.59
120,10.0,3.0,Sightseeing,Wine,Samuel,Beach,,13.0,3.0,4.012,person,place,object,1.0,3.053,2.0,0.0,3.0039999999999996,3.0,1.0,1.374,2.0,0.0,2.083,2.0,1.0,2.8,2.0,1.0,1.304,2.0,19.0,1.0,0.418
120,13.0,4.0,Summer,Jug,Julia,Pool,,14.0,3.0,4.235,person,object,place,0.0,1.205,3.0,1.0,2.489,3.0,1.0,0.938,3.0,1.0,2.627,2.0,1.0,1.903,2.0,0.0,2.467,1.0,9.0,1.0,0.451
120,8.0,5.0,DIY,Headphones,Meryl,Ski Slope,,0.0,3.0,5.615,object,person,place,1.0,7.09,2.0,1.0,7.867000000000001,3.0,0.0,6.266,1.0,1.0,3.4019999999999997,1.0,1.0,2.333,1.0,0.0,3.6,1.0,0.0,1.0,3.74
120,22.0,6.0,Competition,Chair,Adam,Kitchen,,17.0,3.0,2.803,object,person,place,0.0,4.452,1.0,0.0,1.686,2.0,0.0,2.1109999999999998,1.0,1.0,2.023,1.0,1.0,2.0780000000000003,1.0,1.0,2.274,2.0,10.0,1.0,0.38299999999999995
120,14.0,7.0,Vacation,Satchel,Reese,Bowling,,16.0,3.0,3.5660000000000003,place,person,object,0.0,1.7919999999999998,4.0,1.0,2.173,1.0,0.0,1.591,3.0,1.0,1.705,1.0,0.0,1.3259999999999998,2.0,0.0,1.3840000000000001,1.0,3.0,1.0,0.518
120,12.0,8.0,Winter,Computer,Angelina,Restaurant,,19.0,3.0,4.607,object,person,place,1.0,4.66,2.0,0.0,1.092,1.0,1.0,3.4560000000000004,1.0,1.0,1.7919999999999998,1.0,1.0,1.505,1.0,1.0,2.336,2.0,18.0,1.0,0.467
120,17.0,9.0,Home,Goggles,Mindy,Casino,9.517999999999999,11.0,2.0,2.872,person,place,object,0.0,3.9330000000000003,3.0,0.0,1.87,1.0,0.0,5.76,1.0,1.0,2.418,1.0,0.0,0.75,1.0,1.0,1.501,1.0,16.0,2.0,1.125
