participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
141,15.0,0.0,Errands,Hammock,Emily,Bridge,12.13665,23.0,5.0,6.633589999999999,object,place,person,1.0,1.034725,1.0,1.0,0.5358649999999999,2.0,1.0,3.70068,2.0,1.0,1.167585,1.0,1.0,2.86895,2.0,1.0,1.717325,1.0,12.0,2.0,0.9468049999999999
141,6.0,1.0,Family,Stopwatch,Tom,Basketball,12.853335000000001,18.0,5.0,2.5643599999999998,object,place,person,1.0,1.721685,4.0,1.0,1.1179350000000001,4.0,1.0,7.68498,1.0,1.0,2.15108,1.0,1.0,1.003695,1.0,1.0,1.8838849999999998,2.0,16.0,2.0,0.58727
141,21.0,2.0,Music,Beachball,Leonardo,Savannah,13.77095,15.0,1.0,2.81827,place,object,person,1.0,4.9878599999999995,3.0,1.0,5.351865,2.0,1.0,3.366,3.0,1.0,1.11861,2.0,0.0,1.16839,1.0,1.0,8.488389999999999,2.0,11.0,1.0,0.39608499999999996
141,16.0,3.0,Volunteer,Easel,Steve,Aquarium,12.930760000000001,6.0,4.0,2.253515,object,person,place,1.0,2.479565,4.0,0.0,8.017315,4.0,1.0,1.01778,2.0,1.0,1.0509899999999999,2.0,1.0,3.77145,1.0,1.0,1.848925,2.0,9.0,1.0,0.517755
141,14.0,4.0,Vacation,Satchel,Reese,Bowling,12.786505,13.0,4.0,7.37955,place,person,object,0.0,5.433215000000001,4.0,0.0,2.53517,4.0,0.0,0.25049,4.0,0.0,4.934225,2.0,1.0,2.49674,1.0,1.0,0.90149,2.0,21.0,2.0,0.8519399999999999
141,2.0,5.0,Studying,Duster,Chris,Classroom,,19.0,3.0,6.964355,place,object,person,1.0,7.9635050000000005,1.0,1.0,2.200675,1.0,1.0,2.7970450000000002,3.0,1.0,1.46295,2.0,1.0,0.58718,2.0,1.0,1.653095,2.0,13.0,1.0,0.30149499999999996
141,10.0,6.0,Sightseeing,Wine,Samuel,Beach,11.801215,3.0,3.0,3.315315,person,place,object,1.0,2.20355,2.0,1.0,1.7519650000000002,2.0,1.0,0.347385,2.0,1.0,1.3685450000000001,1.0,1.0,1.30691,2.0,1.0,0.8168949999999999,2.0,2.0,1.0,1.41709
141,4.0,7.0,Art,Binoculars,Ryan,Lake,9.083675,5.0,5.0,2.60493,object,place,person,1.0,5.88307,3.0,1.0,1.5506950000000002,3.0,0.0,1.16333,2.0,1.0,0.7051149999999999,1.0,1.0,4.097405,1.0,1.0,3.6686949999999996,1.0,14.0,1.0,0.50593
141,20.0,8.0,Exercise,Extinguisher,Denzel,Field,,17.0,4.0,2.4030099999999996,person,place,object,0.0,1.6845,3.0,1.0,3.237275,4.0,1.0,4.472135,2.0,1.0,1.1801,2.0,0.0,1.98915,1.0,0.0,0.733355,1.0,19.0,1.0,2.150935
141,5.0,9.0,Shopping,Record,Brad,Harbor,2.94807,8.0,2.0,6.51767,place,person,object,0.0,6.701280000000001,1.0,0.0,4.29795,3.0,0.0,1.98532,3.0,1.0,2.433125,2.0,1.0,1.50033,1.0,0.0,0.581465,1.0,5.0,1.0,0.850985
141,11.0,10.0,Friends,Ladder,Sandra,Waterfall,4.996255000000001,7.0,3.0,2.7704299999999997,person,object,place,0.0,2.517675,4.0,0.0,3.802025,3.0,1.0,3.9529650000000003,4.0,1.0,1.2001600000000001,1.0,1.0,1.14665,2.0,1.0,1.369505,1.0,3.0,2.0,2.0983099999999997
141,13.0,11.0,Summer,Jug,Julia,Pool,7.282155,21.0,4.0,3.240125,person,object,place,0.0,1.467255,2.0,1.0,1.68775,3.0,1.0,0.567955,3.0,1.0,2.764995,2.0,1.0,0.7214649999999999,2.0,1.0,0.94673,2.0,10.0,1.0,1.302355
141,17.0,12.0,Home,Goggles,Mindy,Casino,7.451095,0.0,3.0,6.52074,person,place,object,1.0,6.4850650000000005,1.0,1.0,6.76262,2.0,1.0,2.901955,4.0,1.0,4.7026650000000005,1.0,1.0,2.4050849999999997,2.0,1.0,0.818175,1.0,20.0,1.0,0.41428999999999994
141,22.0,13.0,Competition,Chair,Adam,Kitchen,8.721285,12.0,4.0,5.18725,object,person,place,1.0,13.967185,4.0,0.0,4.3893,2.0,1.0,2.616705,3.0,1.0,1.383615,1.0,1.0,0.737685,1.0,1.0,2.466445,2.0,17.0,1.0,0.468225
141,9.0,14.0,Travel,Gloves,Jennifer,Studio,6.27085,9.0,2.0,27.486784999999998,object,place,person,0.0,5.483619999999999,3.0,0.0,0.584395,3.0,0.0,0.58118,3.0,1.0,0.938175,2.0,1.0,1.3003,2.0,0.0,4.4999400000000005,2.0,18.0,1.0,0.45146000000000003
141,1.0,15.0,Celebration,Trampoline,Will,Icerink,9.267955,4.0,3.0,4.334415,person,object,place,0.0,2.5326299999999997,4.0,1.0,6.605635,4.0,1.0,0.729275,4.0,1.0,1.684795,1.0,1.0,0.990195,2.0,0.0,1.530355,2.0,0.0,1.0,1.5355450000000002
