participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
149,2.0,0.0,Studying,Duster,Chris,Classroom,9.06274,19.0,3.0,0.05987000000000001,place,object,person,0.0,0.08774,4.0,0.0,0.018655,3.0,0.0,0.088895,4.0,0.0,0.00172,1.0,1.0,0.03425,2.0,0.0,0.08455,1.0,18.0,1.0,0.33388
149,22.0,1.0,Competition,Chair,Adam,Kitchen,3.317975,11.0,4.0,0.018825,object,person,place,0.0,0.00688,3.0,0.0,0.03549,1.0,0.0,0.07107000000000001,1.0,1.0,0.084755,1.0,0.0,0.001395,2.0,1.0,0.08446000000000001,2.0,16.0,3.0,0.21928499999999998
149,8.0,2.0,DIY,Headphones,Meryl,Ski Slope,2.2761150000000003,3.0,3.0,0.017205,object,person,place,1.0,0.0017399999999999998,2.0,1.0,0.051595,3.0,0.0,0.058679999999999996,2.0,0.0,0.10102,2.0,0.0,0.06796,2.0,1.0,0.07082999999999999,2.0,15.0,3.0,0.43435
149,23.0,3.0,Party,Puppy,Ellen,Avenue,13.5,22.0,3.0,0.01882,place,person,object,1.0,0.051635,1.0,1.0,0.13491,3.0,0.0,0.052195000000000005,2.0,0.0,0.10353,1.0,0.0,0.285045,2.0,1.0,0.108385,1.0,4.0,1.0,0.7355
149,20.0,4.0,Exercise,Extinguisher,Denzel,Field,10.094545,16.0,3.0,0.05159,person,place,object,1.0,0.06641,1.0,0.0,0.06887,2.0,0.0,0.035105000000000004,1.0,1.0,0.038535,2.0,0.0,0.03417,1.0,0.0,0.06989,1.0,8.0,1.0,0.010095
149,18.0,5.0,Work,Flowers,Beyonce,Cabin,2.9773650000000003,10.0,1.0,0.003015,place,object,person,0.0,0.038939999999999995,3.0,0.0,0.03125,3.0,0.0,0.05285,3.0,0.0,0.058185,2.0,1.0,0.033839999999999995,2.0,0.0,0.03625,2.0,20.0,1.0,0.20136500000000002
149,3.0,6.0,Games,Bike,George,Wine Cellar,0.74038,4.0,3.0,0.07322999999999999,person,object,place,1.0,0.10420499999999999,2.0,0.0,0.034865,4.0,1.0,0.04459,4.0,0.0,0.0028,2.0,1.0,0.054955,2.0,1.0,0.12143,2.0,7.0,1.0,0.21721999999999997
149,10.0,7.0,Sightseeing,Wine,Samuel,Beach,0.6382800000000001,0.0,2.0,1.501435,person,place,object,1.0,1.871215,2.0,0.0,1.469335,4.0,1.0,0.63556,2.0,0.0,0.06763,2.0,1.0,0.06957,2.0,1.0,0.14115,2.0,19.0,1.0,0.267285
149,1.0,8.0,Celebration,Trampoline,Will,Icerink,6.5494699999999995,7.0,2.0,0.01815,person,object,place,0.0,0.074875,1.0,1.0,0.04571,4.0,1.0,0.08281000000000001,4.0,0.0,0.08596000000000001,2.0,1.0,2.139885,2.0,1.0,0.68696,1.0,10.0,1.0,0.233415
149,24.0,9.0,Eating,Stroller,Halle,Circus,4.885730000000001,12.0,4.0,0.039865,person,place,object,0.0,0.002015,3.0,1.0,0.01913,1.0,1.0,0.022725,2.0,0.0,0.06804,2.0,0.0,0.03337,1.0,0.0,0.07249,1.0,22.0,1.0,0.45324
