participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
205,5.0,0.0,Party,Satchel,Anne,Bowling,,12.0,6.0,1.663,place,person,object,1.0,11.335,3.0,1.0,0.919,3.0,1.0,2.92,1.0,0.0,2.0669999999999997,1.0,1.0,3.09,1.0,1.0,1.8659999999999999,2.0,3.0,1.0,0.735
205,16.0,1.0,Winter,Record,Samuel,Dining Room,9.737,3.0,3.0,1.5730000000000002,place,person,object,1.0,25.089000000000002,2.0,1.0,3.781,2.0,0.0,3.219,2.0,1.0,4.317,1.0,1.0,1.8769999999999998,1.0,1.0,1.855,1.0,20.0,1.0,0.516
205,21.0,2.0,Home,Gloves,Angelina,Cabin,7.04,16.0,4.0,1.331,place,object,person,1.0,5.522,2.0,1.0,1.31,1.0,1.0,4.096,3.0,1.0,3.2489999999999997,1.0,1.0,1.611,2.0,1.0,2.6860000000000004,2.0,1.0,1.0,0.825
205,11.0,3.0,Games,Binoculars,Leonardo,Lake,11.648,21.0,4.0,1.538,object,place,person,1.0,4.504,3.0,1.0,1.037,2.0,1.0,12.574000000000002,2.0,1.0,1.246,1.0,1.0,1.982,1.0,0.0,4.404,1.0,17.0,1.0,0.6809999999999999
205,15.0,4.0,Celebration,Football,Meryl,Harbor,6.63,17.0,1.0,1.203,object,person,place,1.0,23.759,1.0,0.0,9.685,4.0,1.0,7.087000000000001,4.0,1.0,4.136,2.0,1.0,3.38,1.0,1.0,2.583,1.0,10.0,2.0,1.084
205,19.0,5.0,Vacation,Wine,Julia,Pool,4.833,5.0,4.0,1.81,person,object,place,1.0,29.711,3.0,1.0,4.02,4.0,1.0,1.03,2.0,1.0,1.9040000000000001,2.0,1.0,1.7009999999999998,1.0,0.0,4.739,1.0,18.0,1.0,4.876
205,6.0,6.0,Sightseeing,Ladder,Adam,Beach,7.183,23.0,6.0,0.462,object,place,person,1.0,5.0680000000000005,2.0,1.0,0.684,1.0,1.0,0.9490000000000001,3.0,1.0,1.7730000000000001,2.0,1.0,1.8130000000000002,2.0,1.0,1.2830000000000001,2.0,13.0,1.0,0.927
205,17.0,7.0,Summer,Puppy,Sandra,Circus,11.104000000000001,20.0,4.0,1.633,object,person,place,1.0,10.226,4.0,1.0,1.9169999999999998,4.0,1.0,1.053,1.0,1.0,2.0069999999999997,2.0,1.0,1.395,1.0,0.0,2.448,1.0,7.0,1.0,0.6940000000000001
205,9.0,8.0,Shopping,Duster,Robert,Kitchen,11.56,1.0,2.0,2.021,place,object,person,0.0,12.504000000000001,3.0,1.0,15.092,2.0,1.0,2.379,1.0,1.0,10.086,2.0,1.0,2.5810000000000004,1.0,1.0,2.73,1.0,16.0,1.0,0.68
205,20.0,9.0,Friends,Backpack,Chris,Bridge,6.807,22.0,5.0,1.107,object,place,person,1.0,3.174,3.0,1.0,2.5639999999999996,4.0,1.0,1.052,2.0,1.0,2.2880000000000003,2.0,1.0,2.4219999999999997,1.0,1.0,1.6480000000000001,1.0,9.0,1.0,0.8029999999999999
