participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
223,8.0,0.0,Competition,Goggles,Scarlett,Savannah,,19.0,3.0,2.225405,place,object,person,1.0,6.26391,1.0,1.0,2.426165,1.0,1.0,2.08561,4.0,1.0,2.358725,1.0,1.0,0.9982700000000001,2.0,1.0,1.313895,1.0,4.0,1.0,1.601485
223,5.0,1.0,Party,Satchel,Anne,Bowling,8.143275,22.0,1.0,0.6490600000000001,place,person,object,1.0,4.352725,3.0,1.0,4.840865,3.0,1.0,3.90896,1.0,1.0,1.450575,2.0,0.0,3.1040349999999997,2.0,1.0,0.9311649999999999,2.0,16.0,1.0,1.1591
223,21.0,2.0,Home,Gloves,Angelina,Cabin,3.656655,20.0,1.0,0.737715,place,object,person,1.0,4.794995,2.0,1.0,2.42443,1.0,1.0,6.5888,3.0,1.0,1.68115,1.0,1.0,1.28694,2.0,1.0,2.185075,2.0,12.0,1.0,1.392865
223,4.0,3.0,Exercise,Beachball,Will,Casino,2.4914,0.0,1.0,3.9527650000000003,object,person,place,1.0,4.961575,1.0,1.0,7.687735000000001,2.0,1.0,5.0712150000000005,2.0,1.0,2.830335,1.0,1.0,2.052095,2.0,0.0,2.25198,2.0,2.0,1.0,1.63516
223,3.0,4.0,Music,Bike,Halle,Lighthouse,4.7461400000000005,15.0,3.0,1.00644,person,place,object,1.0,7.0578899999999996,4.0,1.0,1.5453350000000001,1.0,1.0,1.251045,1.0,1.0,5.36425,2.0,1.0,2.93265,2.0,1.0,3.08137,2.0,10.0,1.0,1.0947049999999998
223,17.0,5.0,Summer,Puppy,Sandra,Circus,3.727175,6.0,1.0,0.70275,object,person,place,0.0,7.92099,2.0,0.0,6.440195,3.0,1.0,1.76174,1.0,0.0,2.848225,1.0,1.0,3.6309400000000003,1.0,0.0,2.3855,1.0,8.0,1.0,0.922485
223,18.0,6.0,DIY,Chair,Beyonce,Wine Cellar,4.740880000000001,10.0,3.0,1.507845,person,object,place,1.0,2.8410599999999997,2.0,1.0,2.77862,3.0,1.0,1.9323549999999998,4.0,1.0,2.970385,2.0,1.0,1.26462,1.0,1.0,1.6680400000000002,1.0,14.0,1.0,1.40245
223,9.0,7.0,Shopping,Duster,Robert,Kitchen,4.3651349999999995,18.0,2.0,0.85545,place,object,person,1.0,7.436719999999999,4.0,1.0,1.731525,2.0,1.0,2.161315,1.0,1.0,3.33713,2.0,1.0,0.80486,1.0,1.0,1.184225,1.0,3.0,1.0,1.0797350000000001
223,24.0,8.0,Family,Extinguisher,Ryan,Basketball,5.556985,4.0,2.0,1.18574,person,place,object,1.0,5.799775,4.0,0.0,3.75201,3.0,1.0,2.21855,3.0,0.0,4.0353449999999995,2.0,0.0,4.227275,2.0,1.0,1.03708,2.0,13.0,1.0,3.4387849999999998
223,2.0,9.0,Volunteer,Flowers,Jennifer,Waterfall,3.362435,16.0,1.0,0.9071450000000001,person,place,object,0.0,11.708485000000001,4.0,0.0,9.239905,2.0,0.0,1.45636,3.0,1.0,3.3876449999999996,2.0,0.0,1.596965,2.0,0.0,1.6242,2.0,19.0,1.0,0.954825
223,23.0,10.0,Eating,Hammock,Brad,Restaurant,4.863745,21.0,1.0,1.1746299999999998,person,object,place,1.0,5.839375,1.0,1.0,2.48597,3.0,0.0,2.80845,2.0,1.0,1.2495399999999999,1.0,1.0,0.885315,2.0,1.0,3.72799,2.0,17.0,1.0,0.77413
223,16.0,11.0,Winter,Record,Samuel,Dining Room,5.233525,13.0,1.0,0.539385,place,person,object,0.0,6.7248399999999995,1.0,1.0,2.826045,2.0,1.0,3.179295,3.0,1.0,3.38118,1.0,1.0,3.365875,1.0,1.0,1.4259549999999999,1.0,0.0,1.0,1.678375
223,12.0,12.0,Studying,Trampoline,Ellen,Classroom,4.868869999999999,3.0,1.0,1.5258399999999999,place,person,object,0.0,17.47511,1.0,0.0,9.96547,2.0,0.0,4.7683800000000005,3.0,0.0,2.4237349999999998,1.0,1.0,1.518205,2.0,1.0,1.14016,1.0,6.0,1.0,3.0742849999999997
