participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
217,6.0,0.0,Sightseeing,Ladder,Adam,Beach,,5.0,3.0,1.0737700000000001,object,place,person,1.0,4.166835,2.0,1.0,1.0204950000000002,1.0,1.0,1.7493299999999998,3.0,1.0,1.7909950000000001,2.0,1.0,1.98917,2.0,1.0,1.9277900000000001,2.0,17.0,1.0,0.47725500000000004
217,5.0,1.0,Party,Satchel,Anne,Bowling,12.71924,6.0,3.0,1.867025,place,person,object,1.0,3.63896,3.0,1.0,2.48351,3.0,1.0,1.6811900000000002,1.0,0.0,2.64403,1.0,1.0,1.40317,1.0,1.0,2.205885,2.0,16.0,2.0,1.35119
217,19.0,2.0,Vacation,Wine,Julia,Pool,9.609945,9.0,4.0,1.3246149999999999,person,object,place,1.0,3.2541450000000003,3.0,1.0,1.49421,4.0,1.0,1.03637,2.0,0.0,2.12088,1.0,1.0,0.9866299999999999,1.0,1.0,1.194445,2.0,6.0,1.0,0.67257
217,7.0,3.0,Art,Headphones,Denzel,Avenue,,12.0,4.0,1.205185,person,object,place,1.0,1.54264,2.0,1.0,3.59805,2.0,1.0,2.14373,3.0,1.0,1.51888,1.0,1.0,2.56325,2.0,1.0,1.600185,1.0,3.0,1.0,0.595065
217,14.0,4.0,Relaxing,Stroller,Steve,Ski Slope,,3.0,2.0,1.7180900000000001,place,person,object,0.0,5.788175,2.0,0.0,12.767014999999999,2.0,1.0,5.28357,2.0,1.0,2.7290099999999997,2.0,1.0,2.54814,2.0,1.0,1.18877,1.0,5.0,2.0,0.85019
217,18.0,5.0,DIY,Chair,Beyonce,Wine Cellar,,2.0,5.0,2.40226,person,object,place,1.0,2.05911,2.0,1.0,2.628925,3.0,1.0,2.416865,4.0,1.0,2.417,2.0,1.0,1.13499,1.0,1.0,1.10165,1.0,4.0,1.0,0.693855
217,11.0,6.0,Games,Binoculars,Leonardo,Lake,,1.0,4.0,1.333885,object,place,person,1.0,4.68423,3.0,1.0,2.12246,2.0,1.0,1.26393,2.0,0.0,2.420715,2.0,1.0,1.80305,1.0,1.0,1.779035,2.0,1.0,1.0,0.985125
217,21.0,7.0,Home,Gloves,Angelina,Cabin,,10.0,3.0,2.05209,place,object,person,1.0,5.618875,2.0,1.0,1.533525,1.0,1.0,1.466695,3.0,1.0,1.7393450000000001,1.0,1.0,1.17412,2.0,1.0,1.88926,2.0,19.0,1.0,0.55456
217,3.0,8.0,Music,Bike,Halle,Lighthouse,,15.0,4.0,1.18134,person,place,object,1.0,4.24566,4.0,1.0,1.10995,1.0,1.0,0.677705,1.0,1.0,1.9586,2.0,1.0,1.502575,2.0,0.0,1.20021,1.0,23.0,1.0,0.77086
217,24.0,9.0,Family,Extinguisher,Ryan,Basketball,,8.0,2.0,1.221185,person,place,object,0.0,7.83635,1.0,1.0,3.9865199999999996,2.0,1.0,1.470935,3.0,1.0,1.76152,1.0,1.0,1.236685,1.0,1.0,1.21692,2.0,18.0,1.0,0.97314
217,17.0,10.0,Summer,Puppy,Sandra,Circus,,22.0,5.0,2.03612,object,person,place,1.0,3.54449,4.0,1.0,0.45481499999999997,4.0,1.0,1.67105,1.0,0.0,2.256625,1.0,1.0,1.64677,1.0,1.0,1.616895,2.0,20.0,1.0,0.610345
217,16.0,11.0,Winter,Record,Samuel,Dining Room,,19.0,4.0,1.736825,place,person,object,1.0,6.559760000000001,2.0,1.0,0.5835,2.0,1.0,1.08806,3.0,1.0,1.7552599999999998,1.0,1.0,1.373485,1.0,1.0,1.022945,1.0,7.0,1.0,0.533365
217,1.0,12.0,Date,Pitcher,Reese,Studio,,23.0,3.0,1.246575,person,place,object,1.0,3.3304150000000003,3.0,1.0,0.876275,3.0,1.0,1.13963,2.0,1.0,1.264375,1.0,1.0,0.923035,2.0,1.0,0.80366,2.0,14.0,1.0,0.50876
217,20.0,13.0,Friends,Backpack,Chris,Bridge,,4.0,4.0,1.07724,object,place,person,1.0,4.193255000000001,3.0,1.0,1.8212599999999999,4.0,1.0,1.300115,2.0,1.0,2.0335099999999997,2.0,1.0,1.234025,1.0,1.0,1.43677,1.0,2.0,2.0,2.944855
217,10.0,14.0,Work,Easel,Emma,Aquarium,,16.0,4.0,1.5616450000000002,object,place,person,1.0,4.036975,2.0,1.0,1.60933,4.0,1.0,1.0836700000000001,4.0,1.0,1.200495,1.0,1.0,3.5128699999999995,2.0,1.0,1.659125,1.0,12.0,1.0,0.67542
217,2.0,15.0,Volunteer,Flowers,Jennifer,Waterfall,,21.0,5.0,2.1669400000000003,person,place,object,1.0,1.57235,1.0,1.0,2.008325,3.0,1.0,1.8355299999999999,4.0,1.0,1.65105,2.0,1.0,0.8278700000000001,1.0,1.0,0.833475,1.0,8.0,1.0,0.36890500000000004
217,9.0,16.0,Shopping,Duster,Robert,Kitchen,,18.0,3.0,1.3038399999999999,place,object,person,1.0,4.543655,4.0,1.0,1.33381,2.0,1.0,1.55639,1.0,1.0,1.222645,2.0,1.0,0.63526,1.0,1.0,1.64608,1.0,15.0,1.0,0.5121899999999999
217,12.0,17.0,Studying,Trampoline,Ellen,Classroom,,7.0,5.0,1.97406,place,person,object,1.0,3.310855,4.0,1.0,1.30034,4.0,1.0,0.90602,4.0,1.0,2.903625,2.0,1.0,1.4842600000000001,2.0,1.0,1.0363200000000001,1.0,11.0,1.0,0.48131499999999994
217,15.0,18.0,Celebration,Football,Meryl,Harbor,,14.0,4.0,1.7970150000000003,object,person,place,1.0,3.7388449999999995,1.0,1.0,1.376125,3.0,1.0,1.7182950000000001,4.0,1.0,1.08761,2.0,1.0,2.06399,1.0,1.0,1.186615,1.0,0.0,1.0,3.3541550000000004
217,22.0,19.0,Travel,Computer,George,Field,,0.0,4.0,2.371905,object,person,place,1.0,6.58407,4.0,1.0,2.86015,1.0,1.0,2.88115,1.0,1.0,2.1625349999999997,1.0,1.0,3.4171650000000002,2.0,1.0,2.3105450000000003,2.0,9.0,1.0,0.621765
217,13.0,20.0,Errands,Stopwatch,Tom,Icerink,,13.0,3.0,1.188815,place,object,person,1.0,4.434830000000001,3.0,1.0,1.77289,4.0,1.0,0.685295,1.0,1.0,1.61981,1.0,1.0,1.7147400000000002,1.0,1.0,1.904995,2.0,22.0,1.0,0.51125
217,4.0,21.0,Exercise,Beachball,Will,Casino,,20.0,5.0,1.7000849999999998,object,person,place,1.0,1.90698,1.0,1.0,0.66683,2.0,1.0,0.6622100000000001,2.0,0.0,2.64201,2.0,0.0,1.5018799999999999,1.0,1.0,1.08033,1.0,21.0,1.0,0.43356000000000006
217,23.0,22.0,Eating,Hammock,Brad,Restaurant,,17.0,2.0,1.3216350000000001,person,object,place,1.0,6.75395,1.0,1.0,2.042785,3.0,1.0,0.871835,3.0,0.0,2.10797,2.0,0.0,2.825485,1.0,1.0,1.8871200000000001,2.0,10.0,1.0,0.5173449999999999
217,8.0,23.0,Competition,Goggles,Scarlett,Savannah,,11.0,3.0,1.7394599999999998,place,object,person,1.0,6.808915,1.0,1.0,0.9168799999999999,1.0,1.0,1.506445,4.0,1.0,1.357345,1.0,1.0,2.343955,2.0,1.0,1.6219350000000001,1.0,13.0,2.0,1.1452200000000001
