participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
235,20.0,0.0,Friends,Backpack,Chris,Bridge,13.744000000000002,4.0,2.0,0.053,object,place,person,0.0,0.001,1.0,0.0,0.086,2.0,0.0,0.001,1.0,0.0,0.001,1.0,0.0,0.079,2.0,1.0,0.078,1.0,0.0,2.0,1.178
235,7.0,1.0,Art,Headphones,Denzel,Avenue,13.719000000000001,21.0,1.0,0.125,person,object,place,0.0,0.039,1.0,0.0,0.002,1.0,0.0,0.055999999999999994,2.0,1.0,0.002,1.0,1.0,0.115,2.0,1.0,0.158,1.0,19.0,2.0,0.003
235,2.0,2.0,Volunteer,Flowers,Jennifer,Waterfall,13.835999999999999,14.0,1.0,0.048,person,place,object,0.0,0.04,2.0,0.0,0.151,1.0,0.0,0.003,1.0,0.0,0.003,1.0,1.0,0.003,1.0,1.0,0.08800000000000001,1.0,5.0,1.0,0.08800000000000001
235,10.0,3.0,Work,Easel,Emma,Aquarium,13.79,15.0,2.0,0.002,object,place,person,1.0,0.038,2.0,0.0,0.155,1.0,0.0,0.114,2.0,1.0,0.122,1.0,0.0,0.002,1.0,0.0,0.138,2.0,14.0,1.0,0.001
235,17.0,4.0,Summer,Puppy,Sandra,Circus,13.822000000000001,1.0,2.0,0.10300000000000001,object,person,place,0.0,0.001,1.0,0.0,0.076,2.0,1.0,0.078,1.0,0.0,0.08800000000000001,1.0,1.0,0.001,1.0,0.0,0.003,1.0,21.0,2.0,0.11900000000000001
235,15.0,5.0,Celebration,Football,Meryl,Harbor,13.876,7.0,1.0,0.003,object,person,place,1.0,0.001,1.0,0.0,0.11599999999999999,2.0,0.0,0.114,1.0,0.0,0.003,1.0,1.0,0.002,1.0,0.0,0.12,2.0,3.0,1.0,0.002
235,18.0,6.0,DIY,Chair,Beyonce,Wine Cellar,13.710999999999999,10.0,1.0,0.003,person,object,place,1.0,0.086,2.0,0.0,0.127,1.0,0.0,0.001,1.0,0.0,0.003,1.0,0.0,0.11599999999999999,2.0,0.0,0.001,2.0,13.0,2.0,0.11800000000000001
235,14.0,7.0,Relaxing,Stroller,Steve,Ski Slope,13.783,11.0,2.0,0.001,place,person,object,0.0,0.085,2.0,0.0,0.001,2.0,1.0,0.003,2.0,1.0,0.001,2.0,0.0,0.124,1.0,1.0,0.039,1.0,22.0,2.0,0.078
235,21.0,8.0,Home,Gloves,Angelina,Cabin,13.865,5.0,1.0,0.001,place,object,person,1.0,100.34299999999999,2.0,0.0,0.003,2.0,0.0,0.11800000000000001,1.0,0.0,0.11599999999999999,2.0,0.0,0.11599999999999999,1.0,0.0,0.002,1.0,12.0,2.0,0.11699999999999999
235,4.0,9.0,Exercise,Beachball,Will,Casino,13.822000000000001,22.0,2.0,0.003,object,person,place,1.0,0.002,1.0,0.0,0.003,1.0,1.0,0.078,2.0,0.0,0.001,2.0,0.0,0.156,1.0,1.0,0.002,1.0,2.0,2.0,0.086
235,8.0,10.0,Competition,Goggles,Scarlett,Savannah,13.844000000000001,19.0,1.0,0.001,place,object,person,1.0,0.17600000000000002,1.0,0.0,0.08199999999999999,2.0,0.0,0.151,1.0,0.0,0.124,2.0,0.0,0.174,1.0,1.0,0.002,1.0,4.0,1.0,0.084
235,13.0,11.0,Errands,Stopwatch,Tom,Icerink,13.677,0.0,2.0,0.077,place,object,person,0.0,1.337,1.0,0.0,0.002,2.0,1.0,0.040999999999999995,1.0,1.0,0.096,1.0,0.0,0.003,2.0,0.0,0.087,1.0,17.0,1.0,0.11599999999999999
235,6.0,12.0,Sightseeing,Ladder,Adam,Beach,13.842,3.0,2.0,0.054000000000000006,object,place,person,0.0,0.040999999999999995,1.0,0.0,0.042,2.0,0.0,0.039,1.0,0.0,0.044000000000000004,1.0,1.0,0.044000000000000004,2.0,0.0,0.04,1.0,1.0,2.0,0.044000000000000004
235,24.0,13.0,Family,Extinguisher,Ryan,Basketball,13.786,16.0,1.0,0.153,person,place,object,0.0,0.002,1.0,1.0,0.11699999999999999,2.0,0.0,0.002,2.0,1.0,0.003,1.0,0.0,0.087,2.0,1.0,0.002,2.0,10.0,2.0,0.040999999999999995
235,5.0,14.0,Party,Satchel,Anne,Bowling,6.196000000000001,12.0,2.0,0.003,place,person,object,0.0,0.11599999999999999,1.0,0.0,0.155,2.0,0.0,0.04,2.0,1.0,0.051,2.0,0.0,0.001,2.0,1.0,0.04,2.0,9.0,2.0,0.002
235,11.0,15.0,Games,Binoculars,Leonardo,Lake,,9.0,2.0,0.001,object,place,person,0.0,0.078,2.0,1.0,0.003,2.0,1.0,0.003,2.0,0.0,0.002,2.0,0.0,0.001,2.0,1.0,0.003,2.0,16.0,1.0,0.001
235,23.0,16.0,Eating,Hammock,Brad,Restaurant,,18.0,1.0,0.003,person,object,place,1.0,0.01,1.0,0.0,0.003,1.0,0.0,0.11599999999999999,1.0,1.0,0.004,1.0,1.0,0.001,2.0,1.0,0.043,2.0,6.0,1.0,0.078
235,12.0,17.0,Studying,Trampoline,Ellen,Classroom,,8.0,1.0,0.004,place,person,object,0.0,0.079,2.0,0.0,0.040999999999999995,2.0,0.0,0.115,1.0,1.0,0.128,2.0,0.0,0.099,1.0,0.0,0.133,2.0,18.0,1.0,0.052000000000000005
235,9.0,18.0,Shopping,Duster,Robert,Kitchen,,23.0,1.0,0.001,place,object,person,0.0,0.09,1.0,1.0,0.08,2.0,1.0,0.122,1.0,0.0,0.003,1.0,1.0,0.002,1.0,1.0,0.001,1.0,11.0,2.0,0.146
235,16.0,19.0,Winter,Record,Samuel,Dining Room,,6.0,2.0,0.002,place,person,object,0.0,0.042,1.0,0.0,0.003,1.0,0.0,0.114,2.0,1.0,0.11900000000000001,1.0,1.0,0.005,1.0,1.0,0.003,1.0,15.0,1.0,0.040999999999999995
235,22.0,20.0,Travel,Computer,George,Field,,17.0,2.0,0.085,object,person,place,0.0,0.159,2.0,1.0,0.11199999999999999,1.0,1.0,0.003,1.0,0.0,0.003,2.0,0.0,0.115,1.0,1.0,0.079,2.0,20.0,2.0,0.08199999999999999
235,19.0,21.0,Vacation,Wine,Julia,Pool,7.257999999999999,13.0,2.0,0.14300000000000002,person,object,place,0.0,0.042,1.0,0.0,0.003,1.0,0.0,0.003,1.0,1.0,0.001,2.0,0.0,0.002,2.0,1.0,0.04,2.0,23.0,2.0,0.040999999999999995
235,1.0,22.0,Date,Pitcher,Reese,Studio,13.811,20.0,2.0,0.001,person,place,object,0.0,0.076,1.0,0.0,0.003,1.0,1.0,0.115,2.0,0.0,0.001,2.0,1.0,0.003,2.0,0.0,0.19,1.0,7.0,1.0,0.128
235,3.0,23.0,Music,Bike,Halle,Lighthouse,13.491,2.0,2.0,0.002,person,place,object,0.0,0.040999999999999995,1.0,1.0,0.003,1.0,0.0,0.11699999999999999,2.0,1.0,6.5889999999999995,2.0,0.0,0.002,1.0,1.0,0.08900000000000001,2.0,8.0,1.0,0.11599999999999999
