participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
208,6.0,0.0,Sightseeing,Ladder,Adam,Beach,8.602,17.0,3.0,1.067,object,place,person,1.0,6.874,2.0,1.0,1.69,1.0,1.0,2.343,3.0,1.0,3.7680000000000002,2.0,0.0,2.4659999999999997,1.0,1.0,2.392,2.0,22.0,1.0,0.324
208,18.0,1.0,DIY,Chair,Beyonce,Wine Cellar,7.722,9.0,2.0,1.415,person,object,place,0.0,12.356,4.0,1.0,2.1390000000000002,3.0,1.0,4.468,4.0,1.0,2.521,2.0,1.0,2.326,1.0,1.0,6.066,1.0,5.0,1.0,1.517
208,4.0,2.0,Exercise,Beachball,Will,Casino,10.933,7.0,2.0,1.585,object,person,place,1.0,6.999,1.0,1.0,2.6060000000000003,2.0,1.0,1.935,2.0,0.0,1.8230000000000002,2.0,1.0,3.025,2.0,1.0,1.258,1.0,2.0,1.0,0.27699999999999997
208,7.0,3.0,Art,Headphones,Denzel,Avenue,6.505,19.0,2.0,0.938,person,object,place,1.0,5.806,2.0,1.0,12.251,2.0,1.0,1.318,3.0,1.0,1.571,1.0,1.0,1.7,2.0,1.0,4.317,1.0,8.0,1.0,0.235
208,20.0,4.0,Friends,Backpack,Chris,Bridge,4.708,8.0,3.0,1.374,object,place,person,1.0,12.706,3.0,1.0,1.501,4.0,1.0,5.101,2.0,1.0,1.824,2.0,1.0,2.187,1.0,1.0,1.0390000000000001,1.0,3.0,1.0,0.336
208,23.0,5.0,Eating,Hammock,Brad,Restaurant,6.184,5.0,4.0,1.784,person,object,place,1.0,3.984,1.0,1.0,1.785,3.0,1.0,3.955,3.0,0.0,6.272,2.0,1.0,4.033,2.0,1.0,6.555,2.0,16.0,1.0,0.366
208,16.0,6.0,Winter,Record,Samuel,Dining Room,5.86,6.0,3.0,1.743,place,person,object,1.0,8.156,2.0,1.0,0.9420000000000001,2.0,1.0,1.867,3.0,1.0,1.301,1.0,1.0,0.951,1.0,0.0,1.192,2.0,23.0,1.0,0.301
208,17.0,7.0,Summer,Puppy,Sandra,Circus,4.234,22.0,1.0,1.9909999999999999,object,person,place,0.0,9.033999999999999,2.0,0.0,5.851,3.0,1.0,3.117,1.0,1.0,1.75,2.0,1.0,2.191,1.0,1.0,1.922,2.0,19.0,1.0,0.484
208,9.0,8.0,Shopping,Duster,Robert,Kitchen,4.859,21.0,3.0,1.172,place,object,person,1.0,4.4719999999999995,4.0,1.0,2.419,2.0,1.0,2.451,1.0,0.0,2.707,1.0,0.0,1.5490000000000002,2.0,0.0,2.541,2.0,15.0,1.0,0.251
208,3.0,9.0,Music,Bike,Halle,Lighthouse,3.8680000000000003,11.0,2.0,2.352,person,place,object,1.0,10.755,4.0,1.0,8.543,1.0,1.0,2.489,1.0,1.0,5.034,2.0,0.0,1.689,1.0,1.0,5.0680000000000005,2.0,12.0,1.0,0.284
208,10.0,10.0,Work,Easel,Emma,Aquarium,3.8680000000000003,14.0,4.0,1.306,object,place,person,1.0,3.1839999999999997,2.0,1.0,1.474,4.0,1.0,1.3840000000000001,4.0,1.0,2.767,1.0,1.0,3.483,2.0,1.0,3.475,1.0,1.0,1.0,0.867
208,24.0,11.0,Family,Extinguisher,Ryan,Basketball,4.321000000000001,4.0,4.0,1.389,person,place,object,1.0,3.984,4.0,1.0,1.189,2.0,1.0,3.318,3.0,0.0,2.234,2.0,1.0,1.452,1.0,1.0,1.9040000000000001,2.0,18.0,1.0,0.32299999999999995
208,8.0,12.0,Competition,Goggles,Scarlett,Savannah,4.303,10.0,3.0,1.266,place,object,person,1.0,4.018,1.0,1.0,2.017,1.0,1.0,1.1520000000000001,4.0,0.0,1.7080000000000002,2.0,1.0,2.3369999999999997,2.0,1.0,1.068,1.0,7.0,1.0,0.235
208,19.0,13.0,Vacation,Wine,Julia,Pool,2.34,16.0,2.0,2.436,person,object,place,0.0,10.55,2.0,1.0,2.505,4.0,1.0,1.217,2.0,1.0,2.072,2.0,1.0,1.389,1.0,0.0,6.916,1.0,9.0,1.0,0.23600000000000002
208,21.0,14.0,Home,Gloves,Angelina,Cabin,9.984,2.0,4.0,1.851,place,object,person,1.0,3.8,2.0,1.0,3.0010000000000003,1.0,1.0,1.49,3.0,1.0,1.585,1.0,1.0,4.351,2.0,0.0,2.106,1.0,17.0,1.0,0.23399999999999999
208,1.0,15.0,Date,Pitcher,Reese,Studio,4.224,18.0,1.0,0.9590000000000001,person,place,object,1.0,5.684,3.0,0.0,3.19,1.0,0.0,3.034,1.0,1.0,5.434,1.0,0.0,1.3330000000000002,1.0,1.0,2.133,2.0,14.0,1.0,0.9009999999999999
208,5.0,16.0,Party,Satchel,Anne,Bowling,3.373,20.0,1.0,1.5730000000000002,place,person,object,0.0,6.456,2.0,0.0,3.091,4.0,1.0,2.405,1.0,0.0,2.124,1.0,0.0,2.305,2.0,1.0,1.784,2.0,13.0,1.0,0.501
